,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,JNUG_unscaled,JNUG_monthly,isPartial,scale,JNUG,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,4,0.029751123090745735,0.22129605724191337,JNUG,3700.800048828125,3700.800048828125,3300.0,3417.199951171875,3359.576416015625,42425,91,14.0,,0.14,12.740000000000002,,
1,2016-05-03,6,0.03154806828391734,0.060399238969588875,JNUG,3479.800048828125,3501.0,3051.0,3113.39990234375,3060.899658203125,33705,61,14.0,,0.14,8.540000000000001,-199.800048828125,-0.05398833932986802
2,2016-05-05,1,0.02705570530098832,-0.14239740267137524,JNUG,2701.199951171875,2880.0,2640.0,2803.60009765625,2756.323974609375,37000,81,14.0,,0.14,11.340000000000002,-621.0,-0.1773778920308483
3,2016-05-09,-5,0.021664869721473495,-0.19924949357420385,JNUG,2840.0,2858.60009765625,2523.199951171875,2523.199951171875,2480.65185546875,40675,67,14.0,,0.14,9.38,-21.39990234375,-0.007430521647135424
4,2016-05-11,3,0.02885265049415993,0.33177124372745004,JNUG,3048.0,3188.800048828125,2716.800048828125,3089.800048828125,3037.697265625,61195,76,14.0,,0.14,10.64,330.199951171875,0.11551106831718227
5,2016-05-12,1,0.02705570530098832,-0.0622800734904867,JNUG,3100.199951171875,3278.0,2900.0,2975.0,2924.833251953125,43380,60,14.0,,0.14,8.4,89.199951171875,0.027972889427374303
6,2016-05-13,3,0.02885265049415993,0.06641649785806791,JNUG,2962.199951171875,3171.39990234375,2892.60009765625,3038.0,2986.77099609375,27690,65,14.0,,0.14,9.1,-106.60009765625,-0.032519858955536884
7,2016-05-17,1,0.02705570530098832,-0.0622800734904867,JNUG,3271.800048828125,3672.0,3202.60009765625,3548.39990234375,3488.56396484375,49205,84,14.0,,0.14,11.760000000000002,500.60009765625,0.15784830455670162
8,2016-05-18,2,0.027954177897574126,0.03320824892903396,JNUG,3296.60009765625,3494.60009765625,2684.39990234375,2693.60009765625,2648.1787109375,57770,89,14.0,,0.14,12.46,-177.39990234375,-0.04831152024611929
9,2016-05-24,2,0.027954177897574126,0.0,JNUG,2538.0,2590.0,2105.60009765625,2129.199951171875,2093.296142578125,66015,81,14.0,,0.14,11.340000000000002,-904.60009765625,-0.2588565422014797
10,2016-05-25,5,0.030649595687331537,0.09642271719217033,JNUG,2085.0,2400.0,1967.199951171875,2360.199951171875,2320.400390625,82955,92,14.0,,0.14,12.88,-190.0,-0.07335907335907332
11,2016-05-26,4,0.029751123090745735,-0.029314337642540877,JNUG,2515.199951171875,2543.800048828125,2242.199951171875,2309.60009765625,2270.65380859375,54600,47,14.0,,0.14,6.580000000000001,143.800048828125,0.059916687011718706
12,2016-05-27,1,0.02705570530098832,-0.09059885845438354,JNUG,2252.800048828125,2279.60009765625,1943.4000244140625,1982.4000244140625,1948.9713134765625,70420,73,14.0,,0.14,10.22,-264.199951171875,-0.1038603451924558
13,2016-06-01,2,0.027954177897574126,0.0,JNUG,2184.39990234375,2280.0,1995.800048828125,2126.60009765625,2090.739501953125,65735,31,18.0,False,0.18,5.58,0.39990234375,0.00017542653387381257
14,2016-06-02,1,0.02705570530098832,-0.03214090573072359,JNUG,2111.0,2227.199951171875,2056.199951171875,2134.199951171875,2098.21142578125,41390,31,18.0,,0.18,5.58,-52.800048828125,-0.023157916152686364
15,2016-06-03,2,0.027954177897574126,0.03320824892903396,JNUG,2570.0,2923.39990234375,2562.39990234375,2923.39990234375,2874.10302734375,98620,44,18.0,,0.18,7.92,696.199951171875,0.31258978378010416
16,2016-06-06,-2,0.02436028751123091,-0.12856362292289392,JNUG,2911.800048828125,3085.800048828125,2730.199951171875,3073.0,3021.18115234375,54065,40,18.0,,0.18,7.199999999999999,162.400146484375,0.05555180676929461
17,2016-06-07,2,0.027954177897574126,0.1475307048279424,JNUG,2928.800048828125,3107.39990234375,2893.800048828125,2948.0,2898.28857421875,46790,29,18.0,,0.18,5.22,21.599853515625,0.0069997579797265175
18,2016-06-08,1,0.02705570530098832,-0.03214090573072359,JNUG,3340.0,3500.0,3251.199951171875,3347.800048828125,3291.346923828125,68625,52,18.0,,0.18,9.36,392.60009765625,0.12634360236676723
19,2016-06-09,1,0.02705570530098832,0.0,JNUG,3332.0,3586.60009765625,3255.0,3547.60009765625,3487.778076171875,52490,53,18.0,,0.18,9.54,86.60009765625,0.024742885044642948
