,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SBGI_unscaled,SBGI_monthly,isPartial,scale,SBGI,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-04-05,2,0.035482758620689656,-0.49285362247412523,SBGI,30.049999237060547,30.149999618530277,29.649999618530277,29.850000381469727,26.759506225585938,895500,100,43.0,,0.43,43.0,,
1,2018-06-01,1,0.001,-0.9718172983479106,SBGI,27.5,27.799999237060547,27.049999237060547,27.700000762939453,24.992769241333008,1771800,0,42.0,False,0.42,0.0,-2.35000038146973,-0.07794362889561746
2,2018-07-20,2,0.035482758620689656,0.0,SBGI,26.100000381469727,26.950000762939453,25.5,26.899999618530277,24.270959854125977,3794800,81,72.0,,0.72,58.32,-0.8499984741210938,-0.030575485519724332
3,2018-07-25,2,0.035482758620689656,0.0,SBGI,26.600000381469727,27.149999618530277,26.450000762939453,27.049999237060547,24.406299591064453,2845300,57,72.0,,0.72,41.04,0.19999885559082387,0.007421107604043353
4,2019-04-26,1,0.001,-0.9718172983479106,SBGI,44.36000061035156,45.150001525878906,44.150001525878906,45.09999847412109,41.441200256347656,450200,19,51.0,,0.51,9.69,18.00000190734863,0.6629835049818329
5,2019-05-02,11,0.3458275862068966,344.82758620689657,SBGI,45.41999816894531,45.45000076293945,43.2599983215332,43.720001220703125,40.17315673828125,931300,18,100.0,,1.0,18.0,0.2999992370605469,0.006644501149985382
6,2019-05-06,3,0.06996551724137931,-0.33014196104324856,SBGI,50.54999923706055,63.18000030517578,49.5,60.47999954223633,55.57348251342773,16069500,100,100.0,,1.0,100.0,17.729999542236328,0.3900989932808452
7,2019-05-07,5,0.13893103448275862,0.9857072449482505,SBGI,61.34999847412109,66.56999969482422,60.02999877929688,60.90999984741211,55.96859359741211,7164400,56,100.0,,1.0,56.0,3.3899993896484375,0.053656210403195015
8,2019-05-08,1,0.001,-0.9928021841648051,SBGI,59.68000030517578,64.41000366210938,59.130001068115234,60.93000030517578,55.98697280883789,3257400,63,100.0,,1.0,63.0,-2.1599960327148438,-0.03244698877297403
9,2019-05-09,2,0.035482758620689656,34.48275862068966,SBGI,60.31999969482422,61.65999984741211,59.900001525878906,61.18000030517578,56.21669006347656,1691300,19,100.0,,1.0,19.0,-2.7500038146972656,-0.04269529045710985
10,2019-05-10,1,0.001,-0.9718172983479106,SBGI,61.09000015258789,62.68999862670898,60.77000045776367,61.810001373291016,56.79558181762695,1295000,33,100.0,,1.0,33.0,1.029998779296868,0.01670448883953579
11,2019-05-13,4,0.10444827586206896,103.44827586206897,SBGI,60.900001525878906,61.22999954223633,57.4900016784668,58.0,53.29467391967773,1823200,26,100.0,,1.0,26.0,-1.4599990844726491,-0.023289186735611422
12,2019-06-27,2,0.035482758620689656,-0.6602839220864971,SBGI,52.9900016784668,53.68999862670898,51.900001525878906,53.20000076293945,49.064239501953125,1605800,33,37.0,,0.37,12.21,-7.540000915527351,-0.12314226640368131
13,2019-08-08,1,0.001,-0.9718172983479106,SBGI,46.75,47.369998931884766,45.810001373291016,47.060001373291016,43.40155792236328,1058300,0,41.0,,0.41,0.0,-6.319999694824212,-0.11771279300573911
14,2019-10-08,28,0.9320344827586207,931.0344827586207,SBGI,40.88999938964844,40.88999938964844,38.459999084472656,38.619998931884766,35.77848052978516,1088800,33,25.0,,0.25,8.25,-6.479999542236328,-0.13679543357292834
15,2019-12-09,4,0.10444827586206896,-0.8879351807318066,SBGI,32.81999969482422,33.560001373291016,32.619998931884766,32.65999984741211,30.42799186706543,942500,0,18.0,,0.18,0.0,-7.329998016357422,-0.17926138727732677
16,2020-03-12,7,0.20789655172413793,0.9904258831297459,SBGI,17.5,18.68000030517578,15.989999771118164,16.440000534057617,15.44828987121582,5078600,95,53.0,,0.53,50.35,-14.880001068115234,-0.4433849958050835
17,2020-04-02,1,0.001,-0.9951899154088572,SBGI,12.68000030517578,13.510000228881836,12.31999969482422,12.920000076293944,12.140625,1913100,0,36.0,,0.36,0.0,-5.170000076293945,-0.27676659485179245
18,2020-05-18,2,0.035482758620689656,34.48275862068966,SBGI,16.399999618530273,17.559999465942383,16.399999618530273,17.049999237060547,16.0214900970459,1599300,41,31.0,,0.31,12.71,4.049999237060547,0.2997778807140514
19,2020-06-15,5,0.13893103448275862,2.9154518950437316,SBGI,18.299999237060547,20.149999618530277,18.15999984741211,19.729999542236328,18.741455078125,1391500,43,35.0,,0.35,15.05,2.590000152587894,0.14749431841448502
20,2020-07-31,1,0.001,-0.9928021841648051,SBGI,21.25,21.290000915527344,20.209999084472656,20.600000381469727,19.56786727905273,1031500,70,24.0,,0.24,16.8,1.1400012969970668,0.05657574782029795
21,2020-10-23,3,0.06996551724137931,68.9655172413793,SBGI,19.18000030517578,19.46999931335449,18.5,18.82999992370605,18.05301284790039,773200,100,25.0,,0.25,25.0,-1.8200016021728551,-0.08548621530802669
22,2020-10-29,2,0.035482758620689656,-0.49285362247412523,SBGI,16.899999618530273,18.59000015258789,16.899999618530273,18.5,17.736629486083984,881300,0,25.0,,0.25,0.0,-0.879999160766598,-0.04519769860305056
