,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,RED_unscaled,RED_monthly,isPartial,scale,RED,Stock_Price_Change,Stock_Price_Change_Percent
0,2021-02-04,6,0.07894117647058824,-0.19496100779844028,RED,2.0209999084472656,2.0799999237060547,2.0209999084472656,2.069000005722046,2.069000005722046,15617,75,58.0,,0.58,43.5,,
1,2021-02-05,5,0.07747058823529412,-0.018628912071534942,RED,2.055000066757202,2.055000066757202,2.055000066757202,2.055000066757202,2.055000066757202,6773,81,58.0,,0.58,46.98,-0.02499985694885254,-0.01201916243550094
2,2021-02-08,1,0.07158823529411765,0.0,RED,2.049999952316284,2.059499979019165,2.0199999809265137,2.0999999046325684,2.0999999046325684,11727,68,58.0,,0.58,39.44,0.004499912261962891,0.0021897382558551115
3,2021-02-09,5,0.07747058823529412,0.08216926869350871,RED,2.0999999046325684,2.059499979019165,2.009999990463257,2.0999999046325684,2.0999999046325684,28564,72,58.0,,0.58,41.76,0.0,0.0
4,2021-02-10,2,0.07305882352941176,-0.056947608200455746,RED,2.056999921798706,2.119999885559082,2.0209999084472656,2.0999999046325684,2.0999999046325684,6260,74,58.0,,0.58,42.92,0.06049990653991699,0.029376017070284144
5,2021-02-11,176,0.32894117647058824,3.5024154589371985,RED,2.0299999713897705,2.119999885559082,2.0299999713897705,2.0999999046325684,2.0999999046325684,25602,75,58.0,,0.58,43.5,0.0,0.0
6,2021-02-12,1,0.07158823529411765,-0.7823676680972819,RED,2.109999895095825,2.130000114440918,2.108999967575073,2.130000114440918,2.130000114440918,8458,80,58.0,,0.58,46.4,0.010000228881835938,0.004717089349841386
7,2021-02-16,3,0.07452941176470589,0.041084634346754356,RED,2.11899995803833,2.11899995803833,2.11899995803833,2.119999885559082,2.119999885559082,3433,74,58.0,,0.58,42.92,-0.01100015640258789,-0.005164392399798157
8,2021-02-17,127,0.25688235294117645,2.4467245461720597,RED,2.124000072479248,2.124000072479248,2.05649995803833,2.039999961853028,2.039999961853028,9652,68,58.0,,0.58,39.44,0.005000114440917969,0.0023596576403648317
9,2021-02-18,2,0.07305882352941176,-0.7155942294481337,RED,2.118499994277954,2.118499994277954,2.039999961853028,1.9900000095367432,1.9900000095367432,1276,69,58.0,,0.58,40.02,-0.005500078201293945,-0.0025894905902116294
10,2021-02-19,1,0.07158823529411765,-0.020128824476650542,RED,1.9600000381469729,1.9600000381469729,1.9110000133514404,1.9900000095367432,1.9900000095367432,8415,76,58.0,,0.58,44.08,-0.15849995613098122,-0.0748170670564493
11,2021-02-22,2,0.07305882352941176,0.020542317173377178,RED,1.9479999542236328,1.9479999542236328,1.8996000289916992,1.9600000381469729,1.9600000381469729,16971,73,58.0,,0.58,42.34,-0.012000083923340066,-0.0061224916784620165
12,2021-02-23,2,0.07305882352941176,0.0,RED,1.8996000289916992,1.8996000289916992,1.7111999988555908,1.7999999523162842,1.7999999523162842,30759,71,58.0,,0.58,41.18,-0.048399925231933594,-0.024845958095118692
13,2021-02-24,1,0.07158823529411765,-0.020128824476650542,RED,1.72160005569458,1.7599999904632568,1.60099995136261,1.6200000047683716,1.6200000047683716,95420,70,58.0,,0.58,40.6,-0.13960003852844238,-0.07348917477251338
14,2021-02-25,4,0.076,0.061626951520131534,RED,1.649500012397766,1.6793999671936035,1.600000023841858,1.7000000476837158,1.7000000476837158,55862,72,58.0,,0.58,41.76,-0.08060002326965332,-0.04579546801499601
15,2021-02-26,7,0.08041176470588235,0.058049535603715174,RED,1.6610000133514404,1.6950000524520874,1.6610000133514404,1.690000057220459,1.690000057220459,23936,73,58.0,,0.58,42.34,0.015600085258483887,0.00928908274575746
