,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,ULTA_unscaled,ULTA_monthly,isPartial,scale,ULTA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-12,2,0.00804225352112676,0.7788161993769471,ULTA,203.6999969482422,208.41000366210935,203.0,207.42999267578125,207.42999267578125,761600,67,43.0,,0.43,28.81,,
1,2016-05-20,2,0.00804225352112676,0.0,ULTA,208.72999572753903,208.9499969482422,206.05999755859372,208.47000122070312,208.47000122070312,969000,74,43.0,,0.43,31.82,0.5399932861328409,0.002591014234654132
2,2016-05-23,1,0.00452112676056338,0.0,ULTA,208.97000122070312,209.97999572753903,205.9499969482422,206.0200042724609,206.0200042724609,964300,63,43.0,,0.43,27.09,1.0299987792968466,0.00492940317942181
3,2016-05-24,5,0.018605633802816903,3.1152647975077885,ULTA,208.47999572753903,209.72000122070312,206.4199981689453,206.58999633789065,206.58999633789065,1391300,62,43.0,,0.43,26.66,-0.2599945068359091,-0.0012381870279360996
4,2016-05-25,2,0.00804225352112676,-0.5677517032551098,ULTA,206.6100006103516,212.25999450683597,206.6100006103516,211.47999572753903,211.47999572753903,1238000,63,43.0,,0.43,27.09,2.539993286132841,0.012111354526742613
5,2016-05-26,4,0.01508450704225352,0.8756567425569175,ULTA,214.0,214.44000244140625,211.5500030517578,213.69000244140625,213.69000244140625,1885900,70,43.0,,0.43,30.1,2.180007934570284,0.0102704607132178
6,2016-05-27,3,0.011563380281690142,-0.23342670401493926,ULTA,230.75,237.52999877929688,228.52999877929688,233.1499938964844,233.1499938964844,3584500,72,43.0,,0.43,30.96,23.089996337890625,0.10767578844903136
7,2016-06-22,1,0.00452112676056338,-0.6090133982947625,ULTA,241.0800018310547,241.1199951171875,238.1100006103516,238.22999572753903,238.22999572753903,622500,78,42.0,,0.42,32.76,3.589996337890625,0.015113865012167604
8,2016-08-15,2,0.00804225352112676,0.7788161993769471,ULTA,268.760009765625,269.82000732421875,266.8399963378906,266.9700012207031,266.9700012207031,452900,75,48.0,,0.48,36.0,28.70001220703125,0.11902792297703324
9,2016-08-22,7,0.02564788732394366,4.672897196261682,ULTA,275.7799987792969,275.8599853515625,270.3500061035156,270.70001220703125,270.70001220703125,1307000,69,48.0,,0.48,33.12,6.03997802734375,0.022385211857495868
10,2016-08-23,11,0.03973239436619718,0.5491488193300385,ULTA,272.95001220703125,276.2300109863281,272.0199890136719,275.8900146484375,275.8900146484375,834600,62,48.0,,0.48,29.76,0.370025634765625,0.0013413530574000188
11,2016-08-24,4,0.01508450704225352,-0.6203473945409429,ULTA,278.2900085449219,278.6300048828125,271.2799987792969,273.9800109863281,273.9800109863281,1178300,68,48.0,,0.48,32.64,2.399993896484375,0.008688389389388762
12,2016-08-25,11,0.03973239436619718,1.6339869281045751,ULTA,272.6000061035156,274.5,269.7099914550781,271.45001220703125,271.45001220703125,2178500,70,48.0,,0.48,33.6,-4.1300048828125,-0.014822541759454522
13,2016-08-26,6,0.022126760563380282,-0.44310528181495923,ULTA,270.1099853515625,270.5,250.2400054931641,254.8500061035156,254.8500061035156,5833600,74,48.0,,0.48,35.52,-4.0,-0.014571948998178486
14,2016-08-29,2,0.00804225352112676,0.0,ULTA,254.6000061035156,256.5199890136719,252.5,254.08999633789065,254.08999633789065,1251400,66,48.0,,0.48,31.68,-13.980010986328125,-0.05168211085518715
15,2016-08-30,9,0.03269014084507042,3.0647985989492117,ULTA,252.50999450683597,253.1699981689453,244.5,244.97000122070312,244.97000122070312,1859400,66,48.0,,0.48,31.68,-3.3499908447265625,-0.01305937544129565
16,2016-08-31,4,0.01508450704225352,-0.5385609651012495,ULTA,244.02999877929688,248.8800048828125,242.9600067138672,247.2100067138672,247.2100067138672,1549100,65,48.0,,0.48,31.2,-4.2899932861328125,-0.016945109282933357
17,2016-09-01,1,0.00452112676056338,-0.7002801120448179,ULTA,246.6699981689453,248.44000244140625,244.67999267578125,245.5200042724609,245.5200042724609,682400,66,48.0,False,0.48,31.68,-0.44000244140625,-0.001767930057753886
18,2016-09-02,1,0.00452112676056338,0.0,ULTA,246.58999633789065,249.50999450683597,244.8800048828125,246.4600067138672,246.4600067138672,746800,79,48.0,,0.48,37.92,1.069992065429716,0.0043068429194774716
19,2016-09-07,2,0.00804225352112676,0.7788161993769471,ULTA,249.9600067138672,250.0,245.8300018310547,246.7400054931641,246.7400054931641,612800,63,48.0,,0.48,30.24,0.4900054931640341,0.001963871203366274
20,2016-09-08,2,0.00804225352112676,0.0,ULTA,244.92999267578125,245.8999938964844,243.0,243.57000732421875,243.57000732421875,936400,64,48.0,,0.48,30.72,-4.100006103515597,-0.01640002441406241
21,2016-09-09,1,0.00452112676056338,-0.43782837127845886,ULTA,243.32000732421875,243.55999755859372,238.72999572753903,238.72999572753903,238.72999572753903,1310200,70,48.0,,0.48,33.6,-2.339996337890682,-0.009516048783944853
22,2016-09-12,5,0.018605633802816903,3.1152647975077885,ULTA,235.3800048828125,243.3300018310547,235.19000244140625,242.38999938964844,242.38999938964844,1257200,63,48.0,,0.48,30.24,-0.22999572753903408,-0.0009443083012172782
23,2016-09-14,2,0.00804225352112676,-0.5677517032551098,ULTA,237.30999755859372,239.22999572753903,236.1199951171875,237.2700042724609,237.2700042724609,579600,64,48.0,,0.48,30.72,-4.100006103515653,-0.01684957084068206
24,2016-09-15,1,0.00452112676056338,-0.43782837127845886,ULTA,232.7400054931641,234.5500030517578,230.1000061035156,232.9900054931641,232.9900054931641,1477200,59,48.0,,0.48,28.32,-4.679992675781222,-0.019562733600979154
25,2016-09-16,1,0.00452112676056338,0.0,ULTA,232.8999938964844,235.63999938964844,232.0500030517578,233.7899932861328,233.7899932861328,1347100,80,48.0,,0.48,38.4,1.089996337890625,0.00464718108594564
26,2016-09-19,4,0.01508450704225352,2.336448598130841,ULTA,233.77999877929688,236.2400054931641,233.07000732421875,234.5500030517578,234.5500030517578,691000,60,48.0,,0.48,28.8,0.6000061035156534,0.0025462829106679408
27,2016-09-22,1,0.00452112676056338,-0.7002801120448179,ULTA,240.9499969482422,241.1199951171875,237.41000366210935,238.3800048828125,238.3800048828125,687400,63,48.0,,0.48,30.24,4.879989624023409,0.02065691462305952
28,2016-09-28,3,0.011563380281690142,1.5576323987538943,ULTA,243.6999969482422,243.92999267578125,239.3300018310547,240.1999969482422,240.1999969482422,720300,62,48.0,,0.48,29.76,2.80999755859375,0.01165393835226336
29,2016-10-12,1,0.00452112676056338,-0.6090133982947625,ULTA,237.17999267578125,240.4900054931641,236.6300048828125,238.97000122070312,238.97000122070312,556400,63,45.0,,0.45,28.35,-3.439987182617159,-0.014102354306177567
30,2016-10-13,3,0.011563380281690142,1.5576323987538943,ULTA,246.3500061035156,266.739990234375,245.25,266.1400146484375,266.1400146484375,4768600,65,45.0,,0.45,29.25,26.24998474121091,0.10915208175649971
31,2016-10-14,3,0.011563380281690142,0.0,ULTA,268.0299987792969,268.7799987792969,262.5899963378906,262.75,262.75,1699700,80,45.0,,0.45,36.0,2.040008544921875,0.007647929143018262
32,2016-11-04,2,0.00804225352112676,-0.30450669914738127,ULTA,229.94000244140625,233.52999877929688,227.3300018310547,228.1699981689453,228.1699981689453,942300,18,69.0,,0.69,12.419999999999998,-35.25,-0.13114815149971337
33,2016-11-23,1,0.00452112676056338,-0.43782837127845886,ULTA,259.2900085449219,262.9200134277344,258.0599975585937,262.0199890136719,262.0199890136719,836100,31,69.0,,0.69,21.39,29.3900146484375,0.12585113176921325
34,2016-11-29,1,0.00452112676056338,-0.6090133982947625,ULTA,261.3299865722656,262.3699951171875,260.0,260.4100036621094,260.4100036621094,748700,29,69.0,,0.69,20.01,-0.550018310546875,-0.002091960605722587
35,2017-01-13,5,0.018605633802816903,3.1152647975077885,ULTA,260.739990234375,262.25,259.7099914550781,261.3999938964844,261.3999938964844,409100,81,48.0,,0.48,38.88,-0.1199951171875,-0.0004573507619798356
36,2017-01-17,1,0.00452112676056338,0.0,ULTA,260.95001220703125,264.8800048828125,259.5,263.0599975585937,263.0599975585937,411700,59,48.0,,0.48,28.32,2.6300048828125,0.010028617284318475
37,2017-01-25,1,0.00452112676056338,0.0,ULTA,269.9700012207031,272.5199890136719,268.7300109863281,272.010009765625,272.010009765625,654900,61,48.0,,0.48,29.28,7.639984130859375,0.028843189331106522
