,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,LULU_unscaled,LULU_monthly,isPartial,scale,LULU,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-06-06,50,0.14936795252225518,14.08450704225352,LULU,67.01000213623047,68.80999755859375,67.0,68.75,68.75,3129500,78,51.0,,0.51,39.78,,
1,2016-06-07,8,0.024738872403560833,-0.8343763037129746,LULU,68.55000305175781,68.75,66.95999908447266,68.13999938964844,68.13999938964844,5429500,86,51.0,,0.51,43.86,-0.05999755859375,-0.0008719308345078725
2,2016-06-08,13,0.03957566765578635,0.5997361161089121,LULU,69.04000091552734,71.94999694824219,67.30000305175781,71.4800033569336,71.4800033569336,10395200,97,51.0,,0.51,49.47,3.1999969482421875,0.04654541015624991
3,2016-06-09,4,0.012869436201780417,-0.6748144260328409,LULU,71.04000091552734,72.54000091552734,70.5999984741211,72.31999969482422,72.31999969482422,4008500,69,51.0,,0.51,35.19,0.5900039672851562,0.008200194472691713
4,2016-06-10,4,0.012869436201780417,0.0,LULU,71.2699966430664,71.7300033569336,69.69000244140625,70.54000091552734,70.54000091552734,3144300,82,51.0,,0.51,41.82,-0.80999755859375,-0.01116621930480799
5,2016-06-15,1,0.003967359050445104,-0.6917223887479824,LULU,70.47000122070312,71.88999938964844,70.30999755859375,70.7300033569336,70.7300033569336,2073900,97,51.0,,0.51,49.47,0.15999603271484375,0.002230531510206246
6,2016-06-17,1,0.003967359050445104,0.0,LULU,71.7300033569336,72.05999755859375,71.18000030517578,71.70999908447266,71.70999908447266,1701400,82,51.0,,0.51,41.82,0.1699981689453125,0.0023646984335596866
7,2016-06-23,3,0.009902077151335311,1.495886312640239,LULU,71.91999816894531,72.37000274658203,71.1500015258789,71.81999969482422,71.81999969482422,1396100,72,51.0,,0.51,36.72,0.31000518798828125,0.00430204272122281
8,2016-06-30,1,0.003967359050445104,-0.5993407252022774,LULU,71.69000244140625,73.86000061035156,71.6500015258789,73.86000061035156,73.86000061035156,2705700,83,51.0,,0.51,42.33,1.4899978637695312,0.020588611402807988
9,2016-07-21,2,0.006934718100890208,0.7479431563201198,LULU,76.9000015258789,77.01000213623047,75.79000091552734,76.55000305175781,76.55000305175781,1788300,79,49.0,,0.49,38.71,3.1500015258789062,0.04264827375911806
10,2016-08-08,1,0.003967359050445104,-0.42789901583226364,LULU,77.8499984741211,78.95999908447266,77.8499984741211,78.5199966430664,78.5199966430664,1055900,79,47.0,,0.47,37.13,1.9499969482421875,0.02532134650240181
11,2016-08-26,3,0.009902077151335311,1.495886312640239,LULU,80.3499984741211,81.23999786376953,78.16999816894531,78.19000244140625,78.19000244140625,3088500,79,47.0,,0.47,37.13,2.279998779296875,0.028875364814248572
12,2016-08-29,1,0.003967359050445104,-0.9373388948774429,LULU,78.31999969482422,79.41000366210938,77.80000305175781,78.26000213623047,78.26000213623047,2998500,86,47.0,,0.47,40.42,-1.8299942016601562,-0.022525778554657983
13,2016-08-30,1,0.003967359050445104,0.0,LULU,78.08000183105469,78.72000122070312,75.9800033569336,76.8499984741211,76.8499984741211,3114600,80,47.0,,0.47,37.6,-0.69000244140625,-0.008689112323205794
14,2016-08-31,1,0.003967359050445104,0.0,LULU,76.94000244140625,77.97000122070312,76.37000274658203,76.51000213623047,76.51000213623047,2404000,75,47.0,,0.47,35.25,-0.75,-0.009527438876649197
15,2016-09-01,1,0.003967359050445104,0.0,LULU,75.88999938964844,77.58000183105469,75.12000274658203,76.66000366210938,76.66000366210938,5500100,93,54.0,False,0.54,50.220000000000006,-0.3899993896484375,-0.0050019159105114674
16,2016-09-02,7,0.021771513353115727,4.487658937920718,LULU,70.58000183105469,71.6500015258789,68.37999725341797,68.56999969482422,68.56999969482422,17726000,88,54.0,,0.54,47.52,-5.930000305175781,-0.07643722821880683
17,2016-09-06,1,0.003967359050445104,-0.42789901583226364,LULU,68.63999938964844,68.83999633789062,66.97000122070312,67.68000030517578,67.68000030517578,5388000,82,54.0,,0.54,44.28,-2.8100051879882812,-0.03921849446120873
18,2016-09-27,1,0.003967359050445104,0.0,LULU,64.19000244140625,64.5999984741211,62.88999938964844,64.5199966430664,64.5199966430664,2160800,72,54.0,,0.54,38.88,-4.239997863769531,-0.06159206986238275
19,2016-09-30,1,0.003967359050445104,0.0,LULU,60.959999084472656,61.40999984741211,60.16999816894531,60.97999954223633,60.97999954223633,2821900,80,54.0,,0.54,43.2,-3.1899986267089844,-0.04938078486158026
