,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BE_unscaled,BE_monthly,isPartial,scale,BE,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-07-25,26,0.039656527249683146,0.581130931325484,BE,18.700000762939453,25.0,18.5,25.0,25.0,13709500,94,67.0,,0.67,62.98,,
1,2018-07-27,1,0.02381368821292776,-0.39950142222506313,BE,21.200000762939453,23.0,21.200000762939453,22.600000381469727,22.600000381469727,1320700,96,67.0,,0.67,64.32000000000001,-2.0,-0.07999999999999996
2,2018-07-30,1,0.02381368821292776,-0.7007596872063577,BE,22.75,24.0,22.649999618530277,23.850000381469727,23.850000381469727,1236300,94,67.0,,0.67,62.98,1.0,0.04347826086956519
3,2018-07-31,2,0.024447401774397973,0.026611315131193747,BE,24.030000686645508,26.43000030517578,22.75,23.049999237060547,23.049999237060547,2603400,93,67.0,,0.67,62.31,2.4300003051757812,0.10125001271565748
4,2018-08-02,21,0.03648795944233207,0.4925086837057391,BE,23.5,25.1200008392334,23.5,24.5,24.5,683500,86,66.0,,0.66,56.760000000000005,-1.3099994659423828,-0.04956486760561429
5,2018-08-06,13,0.03141825095057034,-0.13894195699746437,BE,27.06999969482422,29.875,26.899999618530277,27.940000534057617,27.940000534057617,1523400,84,66.0,,0.66,55.440000000000005,4.754999160766602,0.18929136154088244
6,2018-08-07,19,0.03522053231939164,0.12102142079148015,BE,28.65999984741211,28.749000549316406,27.1299991607666,27.450000762939453,27.450000762939453,907300,88,66.0,,0.66,58.080000000000005,-1.1259994506835938,-0.0376903581818776
7,2018-08-08,7,0.02761596958174905,-0.21591277124041897,BE,27.88999938964844,28.25,26.5,28.149999618530277,28.149999618530277,1160200,89,66.0,,0.66,58.74,-0.49900054931640625,-0.017357144240907285
8,2018-08-10,0,0.023179974651457543,-0.16063151131304776,BE,26.84000015258789,28.0,26.299999237060547,27.649999618530277,27.649999618530277,431500,86,66.0,,0.66,56.760000000000005,-0.25,-0.008849557522123908
9,2018-08-14,4,0.025714828897338404,0.1093553502105089,BE,25.100000381469727,25.863000869750977,25.0,25.51000022888184,25.51000022888184,300800,87,66.0,,0.66,57.42,-2.1369991302490234,-0.07632139750889366
10,2018-08-15,16,0.03331939163498099,0.2957267484844004,BE,25.799999237060547,25.799999237060547,22.780000686645508,22.90999984741211,22.90999984741211,822300,88,66.0,,0.66,58.080000000000005,-0.06300163269042969,-0.002435975353661135
11,2018-08-16,13,0.03141825095057034,-0.05705808513066313,BE,23.5,23.920000076293945,22.899999618530277,23.1299991607666,23.1299991607666,567400,87,66.0,,0.66,57.42,-1.8799991607666016,-0.07286818668064399
12,2018-08-17,2,0.024447401774397973,-0.2218726047843801,BE,23.6299991607666,23.6299991607666,22.190000534057617,22.200000762939453,22.200000762939453,601900,84,66.0,,0.66,55.440000000000005,-0.29000091552734375,-0.012123784055283138
13,2018-08-20,2,0.024447401774397973,0.0,BE,22.0,23.106000900268555,21.75,22.420000076293945,22.420000076293945,1187700,86,66.0,,0.66,56.760000000000005,-0.5239982604980469,-0.02217512818908829
14,2018-08-21,1,0.02381368821292776,-0.025921509668723086,BE,22.850000381469727,25.799999237060547,22.61000061035156,25.270000457763672,25.270000457763672,1267400,87,66.0,,0.66,57.42,2.693998336791992,0.11659301617878337
