,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,UVXY_unscaled,UVXY_monthly,isPartial,scale,UVXY,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,3,0.011185028008827026,-0.1540614448395834,UVXY,81900.0,83700.0,73450.0,75250.0,75250.0,8084,57,56.0,,0.56,31.92,,
1,2016-05-03,12,0.01271278221015108,0.1365892155226056,UVXY,79500.0,84950.0,78950.0,81800.0,81800.0,8026,69,56.0,,0.56,38.64,1250.0,0.014934289127837452
2,2016-05-04,1,0.010845527075199458,-0.14688013245917397,UVXY,85850.0,87650.0,82700.0,83950.0,83950.0,9439,71,56.0,,0.56,39.760000000000005,2700.0,0.03178340200117713
3,2016-05-05,1,0.010845527075199458,0.0,UVXY,80600.0,86450.0,80000.0,83800.0,83800.0,8668,79,56.0,,0.56,44.24,-1200.0,-0.01369081574443809
4,2016-05-06,6,0.011694279409268375,0.07825828363932308,UVXY,84400.0,84600.0,75800.0,76350.0,76350.0,8985,63,56.0,,0.56,35.28,-1850.0,-0.02139965297860036
5,2016-05-09,1,0.010845527075199458,0.0,UVXY,74650.0,75250.0,69650.0,72700.0,72700.0,7467,49,56.0,,0.56,27.44,-9350.0,-0.11052009456264777
6,2016-05-10,1,0.010845527075199458,0.0,UVXY,69100.0,69400.0,65400.0,65650.0,65650.0,7244,50,56.0,,0.56,28.000000000000004,-5850.0,-0.07774086378737544
7,2016-05-12,6,0.011694279409268375,0.07825828363932308,UVXY,68350.0,74100.0,65950.0,68150.0,68150.0,10085,87,56.0,,0.56,48.720000000000006,4700.0,0.06772334293948123
8,2016-05-13,2,0.01101527754201324,-0.05806273678709839,UVXY,68200.0,74250.0,65550.0,73150.0,73150.0,10174,74,56.0,,0.56,41.440000000000005,150.0,0.002024291497975783
9,2016-05-16,3,0.011185028008827026,0.015410457536484401,UVXY,72100.0,72200.0,64750.0,66500.0,66500.0,7582,50,56.0,,0.56,28.000000000000004,-2050.0,-0.02760942760942764
10,2016-05-17,4,0.011354778475640807,0.015176579502511611,UVXY,67550.0,74400.0,66750.0,72450.0,72450.0,8498,82,56.0,,0.56,45.92,2200.0,0.030470914127423754
11,2016-05-19,23,0.0145800373451027,0.2840441912962881,UVXY,74350.0,80000.0,72150.0,72600.0,72600.0,14584,83,56.0,,0.56,46.48,5600.0,0.07526881720430101
12,2016-05-20,1,0.010845527075199458,-0.256138594264824,UVXY,69600.0,70000.0,67100.0,67500.0,67500.0,8684,60,56.0,,0.56,33.6,-10000.0,-0.125
13,2016-05-24,3,0.011185028008827026,0.03130331345572923,UVXY,64800.0,64900.0,59600.0,61000.0,61000.0,9031,66,56.0,,0.56,36.96,-5100.0,-0.07285714285714284
14,2016-05-25,30,0.015768290612799184,0.40976764656781617,UVXY,59000.0,60150.0,56400.0,58700.0,58700.0,7016,69,56.0,,0.56,38.64,-4750.0,-0.07318952234206466
15,2016-05-27,-4,0.009996774741130539,-0.3660203894887555,UVXY,56500.0,57000.0,54200.0,54250.0,54250.0,6311,52,56.0,,0.56,29.120000000000005,-3150.0,-0.052369077306733125
16,2016-05-31,4,0.011354778475640807,0.015176579502511611,UVXY,52750.0,57300.0,52250.0,54250.0,54250.0,8643,77,56.0,,0.56,43.120000000000005,300.0,0.0052631578947368585
17,2016-06-01,2,0.01101527754201324,-0.02989938855750396,UVXY,56000.0,57100.0,52600.0,53350.0,53350.0,8714,17,95.0,False,0.95,16.15,-200.0,-0.003490401396160525
18,2016-06-02,2,0.01101527754201324,0.0,UVXY,54450.0,55700.0,50350.0,50500.0,50500.0,7618,18,95.0,,0.95,17.099999999999998,-1400.0,-0.024518388791593737
19,2016-06-03,12,0.01271278221015108,0.15410457536484268,UVXY,52300.0,55100.0,49300.0,49950.0,49950.0,11130,15,95.0,,0.95,14.25,-600.0,-0.010771992818671472
20,2016-06-06,3,0.011185028008827026,0.03130331345572923,UVXY,49400.0,51200.0,48250.0,48700.0,48700.0,8868,16,95.0,,0.95,15.2,-3900.0,-0.07078039927404722
21,2016-06-07,5,0.011524528942454593,0.030353159005023445,UVXY,47800.0,48950.0,46750.0,48950.0,48950.0,7174,18,95.0,,0.95,17.099999999999998,-2250.0,-0.0439453125
22,2016-06-08,2,0.01101527754201324,-0.0441884785906822,UVXY,48700.0,50450.0,47900.0,49250.0,49250.0,7174,18,95.0,,0.95,17.099999999999998,1500.0,0.0306435137895813
