,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,MCD_unscaled,MCD_monthly,isPartial,scale,MCD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-20,1,0.04017378917378917,-0.034244229847270824,MCD,124.73999786376952,125.0,122.13999938964844,122.55999755859376,105.4948272705078,9735900,65,74.0,,0.74,48.1,,
1,2016-06-29,1,0.04017378917378917,0.0,MCD,119.16000366210938,119.95999908447266,119.0,119.48999786376952,103.60832214355467,5020400,80,68.0,,0.68,54.400000000000006,-5.040000915527344,-0.0403200073242187
2,2016-07-14,5,0.04302279202279202,0.1310763238708712,MCD,123.6999969482422,124.20999908447266,123.01000213623048,123.93000030517578,107.45818328857422,6011900,46,69.0,,0.69,31.74,4.25,0.035428476429107514
3,2016-07-15,1,0.04017378917378917,-0.06622078008078935,MCD,124.41999816894533,124.44000244140624,123.38999938964844,123.61000061035156,107.1807098388672,3688400,47,69.0,,0.69,32.43,0.23000335693357954,0.0018517298013758232
4,2016-07-18,2,0.040886039886039886,0.0177292390610595,MCD,124.0,124.0,123.38999938964844,123.8000030517578,107.34545135498048,5254700,46,69.0,,0.69,31.74,-0.4400024414062358,-0.0035358601155075498
5,2016-07-19,6,0.04373504273504274,0.06968155529231423,MCD,124.08000183105467,126.5999984741211,123.75,126.5,109.68661499023438,6277700,61,69.0,,0.69,42.09,2.5999984741210938,0.020967729630008813
6,2016-07-20,23,0.055843304843304846,0.2768549280177188,MCD,126.83999633789062,126.87000274658205,125.55999755859376,126.05999755859376,109.30508422851562,3353300,66,69.0,,0.69,45.54,0.2700042724609517,0.0021327351952231677
7,2016-07-21,1,0.04017378917378917,-0.2805979286771084,MCD,126.41999816894533,127.2300033569336,125.93000030517578,127.18000030517578,110.27622985839844,3572100,45,69.0,,0.69,31.05,0.3600006103515483,0.0028375549976982217
8,2016-07-22,1,0.04017378917378917,0.0,MCD,127.29000091552734,128.60000610351562,127.29000091552734,128.25999450683594,111.2126922607422,4304200,58,69.0,,0.69,40.02,1.3700027465820312,0.010767921955787463
9,2016-07-25,81,0.09715384615384616,1.2962090094943104,MCD,127.9499969482422,127.9499969482422,126.86000061035156,127.4000015258789,110.46697998046876,6210100,47,69.0,,0.69,32.43,-0.6500091552734233,-0.005054503300335744
