,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,GE_unscaled,GE_monthly,isPartial,scale,GE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-09,3,0.03588372093023256,0.02556367912469959,GE,231.15383911132807,231.46153259277344,227.92308044433597,229.76922607421875,226.2617034912109,3530059,90,75.0,,0.75,67.5,,
1,2016-05-13,-1,0.03409481216457961,-0.049852933845156766,GE,230.53846740722656,231.61538696289065,227.23077392578125,228.0,224.5194854736328,4584697,84,75.0,,0.75,63.0,0.15385437011721592,0.0006647081629236329
2,2016-05-25,1,0.034989266547406084,-0.036929440149687354,GE,230.76922607421875,233.23077392578125,230.46153259277344,231.46153259277344,227.92819213867188,3595579,97,75.0,,0.75,72.75,1.6153869628905966,0.006974437165305547
3,2016-06-06,1,0.034989266547406084,0.0,GE,230.76922607421875,232.53846740722656,230.38461303710935,231.6923065185547,228.15538024902344,2426073,91,75.0,,0.75,68.25,-0.6923065185546875,-0.0029683326385350206
4,2016-06-14,1,0.034989266547406084,0.0,GE,229.38461303710935,234.3076934814453,229.15383911132807,234.15383911132807,230.579345703125,5681065,90,75.0,,0.75,67.5,1.76922607421875,0.007608315707699376
5,2016-06-15,2,0.03543649373881932,0.012781839562349795,GE,234.46153259277344,237.76922607421875,234.38461303710935,235.3076934814453,231.7156219482422,5689476,90,75.0,,0.75,67.5,3.4615325927734375,0.014773448286483859
6,2016-06-17,4,0.0363309481216458,0.025241052047049406,GE,235.76922607421875,236.3076934814453,234.23077392578125,235.38461303710935,232.0094146728516,7232667,83,75.0,,0.75,62.25,-1.4615325927734375,-0.006146853471766023
7,2016-06-29,1,0.034989266547406084,-0.036929440149687354,GE,234.6923065185547,235.53846740722656,233.0769195556641,235.0,231.63037109375,4662866,100,75.0,,0.75,75.0,-0.76922607421875,-0.003255188448949675
8,2016-06-30,5,0.03677817531305903,0.05112735824939918,GE,235.84616088867188,242.3076934814453,235.76922607421875,242.15383911132807,238.6815948486328,7086885,90,75.0,,0.75,67.5,6.76922607421875,0.02873936537302546
9,2016-07-05,1,0.034989266547406084,-0.0486404980787003,GE,240.38461303710935,242.53846740722656,239.38461303710935,241.92308044433597,238.45413208007807,4206865,94,78.0,,0.78,73.32000000000001,0.23077392578125,0.0009524003240075629
10,2016-07-11,0,0.03454203935599284,-0.012781839562349906,GE,248.15383911132807,250.0,247.53846740722656,247.76922607421875,244.21646118164065,4937283,96,78.0,,0.78,74.88,7.4615325927734375,0.030764326469686853
11,2016-07-12,2,0.03543649373881932,0.025894660521000645,GE,248.53846740722656,249.92308044433597,247.15383911132807,248.15383911132807,244.59556579589844,4951830,94,78.0,,0.78,73.32000000000001,-0.07691955566403408,-0.0003076782226560937
12,2016-07-15,2,0.03543649373881932,0.0,GE,252.0,253.46153259277344,251.84616088867188,252.92308044433597,249.29641723632807,5500144,86,78.0,,0.78,67.08,3.5384521484374716,0.01415816475271714
13,2016-07-18,4,0.0363309481216458,0.0,GE,253.0,253.38461303710935,251.23077392578125,253.15383911132807,249.5238342285156,4974463,99,78.0,,0.78,77.22,-0.07691955566409092,-0.0003034762509215305
14,2016-07-19,1,0.034989266547406084,-0.036929440149687354,GE,251.92308044433597,253.46153259277344,251.6923065185547,253.3076934814453,249.67550659179688,4362501,99,78.0,,0.78,77.22,0.07691955566409092,0.00030356837671452475
15,2016-07-20,4,0.0363309481216458,0.038345518687049385,GE,253.53846740722656,253.84616088867188,251.53846740722656,252.15383911132807,248.53819274902344,4622514,96,78.0,,0.78,74.88,0.3846282958984375,0.0015175016578015121
16,2016-07-21,1,0.034989266547406084,-0.036929440149687354,GE,251.76922607421875,252.6923065185547,249.92308044433597,250.6923065185547,247.0976104736328,5512832,96,78.0,,0.78,74.88,-1.1538543701171875,-0.0045454867864762605
17,2016-07-22,2,0.03543649373881932,0.012781839562349795,GE,244.0769195556641,246.6923065185547,243.76922607421875,246.61538696289065,243.07916259765625,7509294,98,78.0,,0.78,76.44,-6.0,-0.023744292347734897
