,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,PFE_unscaled,PFE_monthly,isPartial,scale,PFE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-23,2,0.07635321821036106,0.06573613515349375,PFE,32.09677505493164,32.17267608642578,31.925996780395508,31.944971084594727,25.754037857055664,25126833,43,9.0,,0.09,3.87,,
1,2016-06-07,3,0.07792307692307693,0.02056047864794297,PFE,33.05502700805664,33.19734191894531,32.96963882446289,33.05502700805664,26.648963928222656,24776905,68,8.0,,0.08,5.44,1.0246658325195312,0.03184894628494561
2,2016-06-22,6,0.08263265306122448,0.06043878558333482,PFE,32.96015167236328,33.159393310546875,32.64706039428711,32.703983306884766,26.365947723388672,26515583,55,8.0,,0.08,4.4,-0.0379486083984375,-0.001143121894852106
3,2016-06-29,1,0.07478335949764521,-0.09499021600775115,PFE,32.84629821777344,33.34914779663086,32.79886245727539,33.2163200378418,26.77899742126465,26206761,78,8.0,,0.08,6.24,0.18975448608398438,0.00572249571356398
4,2016-06-30,3,0.07792307692307693,0.041984171967168527,PFE,33.339656829833984,33.46299743652344,33.149906158447266,33.40607070922852,26.93197250366211,28451465,45,8.0,,0.08,3.6,0.11384963989257812,0.0034138695413403752
5,2016-07-05,6,0.08263265306122448,0.06043878558333482,PFE,33.71916580200195,34.07969665527344,33.6337776184082,33.9753303527832,27.39090919494629,21972843,94,8.0,,0.08,7.52,0.61669921875,0.01842928804927979
6,2016-07-11,3,0.07792307692307693,-0.056994129604650556,PFE,34.22201156616211,34.487667083740234,34.184059143066406,34.29791259765625,27.650976181030277,17406915,82,8.0,,0.08,6.5600000000000005,0.4079704284667969,0.011971069830625014
7,2016-07-19,1,0.07478335949764521,-0.04029252372222347,PFE,34.7912712097168,34.98102569580078,34.67741775512695,34.76280975341797,28.025775909423828,17614975,53,8.0,,0.08,4.24,0.4933586120605469,0.014305363446666775
8,2016-07-20,2,0.07635321821036106,0.020992085983584152,PFE,35.00948715209961,35.0379524230957,34.800758361816406,34.800758361816406,28.056373596191406,12937112,83,8.0,,0.08,6.640000000000001,0.056926727294921875,0.0016273601520424563
9,2016-07-25,1,0.07478335949764521,-0.02056047864794286,PFE,34.91461181640625,34.95256042480469,34.63946914672852,34.89563751220703,28.132858276367188,12833293,42,8.0,,0.08,3.36,-0.08539199829101562,-0.002437128667220012
10,2016-07-26,2,0.07635321821036106,0.020992085983584152,PFE,34.94307327270508,34.98102569580078,34.77229690551758,34.94307327270508,28.171098709106445,12773953,78,8.0,,0.08,6.24,0.02846527099609375,0.0008143973045218189
