,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,WANT_unscaled,WANT_monthly,isPartial,scale,WANT,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-12-04,1,0.025970273483947683,0.0,WANT,25.959999084472656,25.959999084472656,24.3799991607666,24.3799991607666,24.107402801513672,400,99,86.0,,0.86,85.14,,
1,2018-12-11,0,0.024781212841854937,-0.43429874324801165,WANT,21.947999954223636,21.947999954223636,21.947999954223636,21.947999954223636,21.70259475708008,100,97,86.0,,0.86,83.42,-4.01199913024902,-0.15454542649227976
2,2018-12-14,108,0.15319976218787157,5.18209298977976,WANT,21.75,21.75,21.20499992370605,21.20499992370605,20.96790313720703,700,100,86.0,,0.86,86.0,-0.19799995422363637,-0.009021321060533993
3,2018-12-17,3,0.028348394768133174,-0.49102282188680857,WANT,20.34499931335449,20.34499931335449,19.41900062561035,19.41900062561035,19.20187187194824,600,91,86.0,,0.86,78.26,-1.4050006866455114,-0.06459773271933389
4,2018-12-21,9,0.035482758620689656,0.2516672958349062,WANT,16.3799991607666,16.3799991607666,16.3799991607666,16.3799991607666,16.196849822998047,100,91,86.0,,0.86,78.26,-3.965000152587887,-0.19488819299125038
5,2019-01-02,1,0.025970273483947683,-0.2680875305787339,WANT,17.809999465942383,19.381999969482425,17.809999465942383,19.381999969482425,19.165285110473636,1300,86,81.0,,0.81,69.66000000000001,3.002000808715824,0.18327234203443798
6,2019-01-04,10,0.0366718192627824,0.41206904445767134,WANT,19.18000030517578,20.190000534057617,19.149999618530277,19.948999404907227,19.72594451904297,4000,89,81.0,,0.81,72.09,0.8080005645751918,0.04168819347061259
7,2019-01-07,11,0.03786087990487515,0.032424370156609594,WANT,20.65999984741211,21.600000381469727,20.450000762939453,21.367000579833984,21.12809181213379,4900,86,81.0,,0.81,69.66000000000001,1.4099998474121094,0.06983654334400047
8,2019-01-10,2,0.02715933412604043,-0.28265443924499856,WANT,21.75,22.13999938964844,21.239999771118164,22.13999938964844,21.89244842529297,4200,100,81.0,,0.81,81.0,0.5399990081787145,0.02499995364083274
9,2019-01-11,1,0.025970273483947683,-0.04378092027494418,WANT,22.131000518798828,22.17300033569336,22.131000518798828,22.17300033569336,21.925079345703125,300,97,81.0,,0.81,78.57000000000001,0.03300094604491832,0.0014905576763633022
10,2019-01-14,2,0.02715933412604043,0.045785449384185606,WANT,22.1200008392334,22.1200008392334,21.459999084472656,21.80299949645996,21.559215545654297,2000,90,81.0,,0.81,72.9,-0.05299949645996094,-0.0023902717565310594
