,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,LINK_unscaled,LINK_monthly,isPartial,scale,LINK,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,6,0.018341040462427745,1.7050298380221656,LINK,8.25,8.25,8.25,8.25,8.25,0,100,72.0,,0.72,72.0,,
1,2016-05-03,6,0.018341040462427745,0.0,LINK,8.25,8.25,8.25,8.25,8.25,0,97,72.0,,0.72,69.84,0.0,0.0
2,2016-05-04,2,0.006780346820809248,-0.6303183107469272,LINK,8.5,8.5,8.5,8.5,8.5,200,93,72.0,,0.72,66.96,0.25,0.030303030303030276
3,2016-05-05,6,0.018341040462427745,1.7050298380221656,LINK,8.5,8.5,8.5,8.5,8.5,0,98,72.0,,0.72,70.56,0.0,0.0
4,2016-05-06,2,0.006780346820809248,-0.6303183107469272,LINK,8.25,8.25,8.25,8.25,8.25,100,96,72.0,,0.72,69.12,-0.25,-0.02941176470588236
5,2016-05-09,2,0.006780346820809248,0.0,LINK,8.25,8.25,8.25,8.25,8.25,0,95,72.0,,0.72,68.39999999999999,0.0,0.0
6,2016-05-11,4,0.012560693641618496,0.8525149190110826,LINK,8.25,8.25,8.25,8.25,8.25,0,96,72.0,,0.72,69.12,0.0,0.0
7,2016-05-12,2,0.006780346820809248,-0.46019328117809477,LINK,8.25,8.25,8.25,8.25,8.25,0,97,72.0,,0.72,69.84,0.0,0.0
8,2016-05-13,8,0.024121387283236994,2.557544757033248,LINK,9.859999656677246,9.869999885559082,9.859999656677246,9.869999885559082,9.869999885559082,500,93,72.0,,0.72,66.96,1.619999885559082,0.19636362249201
9,2016-05-17,8,0.024121387283236994,0.0,LINK,10.75,10.75,10.640000343322754,10.640000343322754,10.640000343322754,400,100,72.0,,0.72,72.0,0.880000114440918,0.08915908051108046
10,2016-05-18,2,0.006780346820809248,-0.7189072609633358,LINK,11.0,11.0,10.029999732971191,10.029999732971191,10.029999732971191,900,93,72.0,,0.72,66.96,0.25,0.023255813953488413
11,2016-05-20,3,0.009670520231213873,0.4262574595055415,LINK,9.039999961853027,9.039999961853027,9.039999961853027,9.039999961853027,9.039999961853027,0,88,72.0,,0.72,63.36,-1.9600000381469727,-0.17818182164972474
12,2016-05-23,4,0.012560693641618496,0.29886431560071713,LINK,9.039999961853027,9.039999961853027,9.039999961853027,9.039999961853027,9.039999961853027,0,97,72.0,,0.72,69.84,0.0,0.0
13,2016-05-24,2,0.006780346820809248,-0.46019328117809477,LINK,8.100000381469727,8.75,8.100000381469727,8.75,8.75,500,96,72.0,,0.72,69.12,-0.28999996185302734,-0.03207964193327084
14,2016-05-25,2,0.006780346820809248,0.0,LINK,9.0,9.0,9.0,9.0,9.0,1900,95,72.0,,0.72,68.39999999999999,0.25,0.02857142857142847
15,2016-05-27,2,0.006780346820809248,0.0,LINK,10.5,10.5,10.09000015258789,10.100000381469728,10.100000381469728,700,89,72.0,,0.72,64.08,1.5,0.16666666666666674
16,2016-05-31,2,0.006780346820809248,0.0,LINK,10.100000381469728,10.100000381469728,10.100000381469728,10.100000381469728,10.100000381469728,0,100,72.0,,0.72,72.0,-0.39999961853027166,-0.038095201764787756
17,2016-06-01,2,0.006780346820809248,0.0,LINK,10.600000381469728,10.600000381469728,10.600000381469728,10.600000381469728,10.600000381469728,2700,93,74.0,False,0.74,68.82,0.5,0.04950494862528321
18,2016-06-02,2,0.006780346820809248,0.0,LINK,10.5,10.800000190734863,10.489999771118164,10.489999771118164,10.489999771118164,500,91,74.0,,0.74,67.34,0.19999980926513494,0.018867905855433964
19,2016-06-03,4,0.012560693641618496,0.8525149190110826,LINK,10.81999969482422,10.81999969482422,10.81999969482422,10.81999969482422,10.81999969482422,400,90,74.0,,0.74,66.6,0.019999504089357245,0.0018518059014955845
20,2016-06-06,2,0.006780346820809248,-0.6303183107469272,LINK,11.0,11.904999732971191,11.0,11.904999732971191,11.904999732971191,1800,91,74.0,,0.74,67.34,1.0850000381469709,0.10027727067922054
21,2016-06-07,2,0.006780346820809248,0.0,LINK,12.010000228881836,12.010000228881836,11.654000282287598,11.654000282287598,11.654000282287598,1100,93,74.0,,0.74,68.82,0.10500049591064453,0.008819865457018183
22,2016-06-08,2,0.006780346820809248,0.0,LINK,11.40999984741211,11.760000228881836,11.15999984741211,11.260000228881836,11.260000228881836,30100,90,74.0,,0.74,66.6,-0.25,-0.020815986281065735
23,2016-06-09,2,0.006780346820809248,0.0,LINK,11.300000190734863,11.739999771118164,11.210000038146973,11.489999771118164,11.489999771118164,41800,90,74.0,,0.74,66.6,-0.020000457763671875,-0.0017007191644904385
24,2016-06-10,4,0.012560693641618496,0.8525149190110826,LINK,11.25,11.75,11.010000228881836,11.010000228881836,11.010000228881836,35000,88,74.0,,0.74,65.12,0.010000228881835938,0.0008518082688926398
25,2016-06-13,7,0.02123121387283237,1.1954572624028694,LINK,11.899999618530272,12.765000343322754,11.220000267028809,11.25,11.25,12600,88,74.0,,0.74,65.12,1.015000343322754,0.08638300794236198
26,2016-06-14,7,0.02123121387283237,0.0,LINK,11.149999618530272,12.300000190734863,10.279999732971191,11.489999771118164,11.489999771118164,15300,94,74.0,,0.74,69.56,-0.4650001525878906,-0.03642774305377339
27,2016-06-15,3,0.009670520231213873,-0.5445140212360469,LINK,11.300999641418455,12.0,11.00100040435791,12.0,12.0,4200,100,74.0,,0.74,74.0,-0.3000001907348633,-0.02439025903112113
28,2016-06-16,5,0.015450867052023122,0.5977286312014347,LINK,11.90999984741211,12.550000190734863,11.020000457763672,12.5,12.5,13700,95,74.0,,0.74,70.3,0.5500001907348633,0.04583334922790527
29,2016-06-17,2,0.006780346820809248,-0.5611672278338946,LINK,11.25,12.5,11.25,11.260000228881836,11.260000228881836,11100,92,74.0,,0.74,68.08,-0.05000019073486328,-0.00398407888246699
30,2016-06-20,6,0.018341040462427745,0.4601932811780949,LINK,11.510000228881836,11.920000076293944,11.024999618530272,11.31999969482422,11.31999969482422,19900,89,74.0,,0.74,65.86,-0.5799999237060565,-0.046399993896484526
31,2016-06-21,4,0.012560693641618496,-0.3151591553734636,LINK,11.520000457763672,11.90999984741211,11.149999618530272,11.300000190734863,11.300000190734863,15200,94,74.0,,0.74,69.56,-0.010000228881834161,-0.0008389453706231231
