,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,DIA_unscaled,DIA_monthly,isPartial,scale,DIA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-07-05,1,0.05837704918032787,-0.12312238364934747,DIA,178.5800018310547,178.67999267578125,177.66000366210938,178.2100067138672,159.93661499023438,3233100,80,43.0,,0.43,34.4,,
1,2016-07-07,7,0.06821311475409836,0.1684919966301599,DIA,179.14999389648438,179.72000122070312,178.0399932861328,178.7899932861328,160.45721435546875,2343300,77,43.0,,0.43,33.11,1.040008544921875,0.005820509220688219
2,2016-07-14,1,0.05837704918032787,-0.14419610670511895,DIA,185.05999755859372,185.2700042724609,184.57000732421875,184.9600067138672,165.9945068359375,3354700,75,43.0,,0.43,32.25,5.550003051757784,0.030881387792459192
3,2016-07-18,1,0.05837704918032787,0.0,DIA,184.8300018310547,185.3800048828125,184.7100067138672,185.0800018310547,166.2235565185547,2134900,76,43.0,,0.43,32.68,0.11000061035159092,0.0005937313532407007
4,2016-07-28,5,0.0649344262295082,0.11232799775343993,DIA,184.27999877929688,184.66000366210935,183.5200042724609,184.3800048828125,165.5948028564453,2906300,78,43.0,,0.43,33.54,-0.7200012207031534,-0.003883920604912605
5,2016-09-09,7,0.06821311475409836,0.05049229992426163,DIA,183.57000732421875,183.75,180.91000366210935,180.91000366210935,163.0524444580078,8242600,74,48.0,,0.48,35.52,-0.9100036621093466,-0.004927995473099189
6,2016-09-14,1,0.05837704918032787,-0.14419610670511895,DIA,180.83999633789065,181.7400054931641,180.00999450683594,180.42999267578125,162.6197052001953,2990400,79,48.0,,0.48,37.92,-2.009994506835909,-0.01093874561543351
7,2016-09-26,6,0.06657377049180328,0.14040999719180003,DIA,181.50999450683597,181.5500030517578,180.5800018310547,180.75,163.22520446777344,2639800,69,48.0,,0.48,33.12,-0.19000244140627842,-0.0010454629452150144
8,2016-09-29,2,0.06001639344262295,-0.09849790691947802,DIA,182.82000732421875,183.4199981689453,180.6499938964844,181.22000122070312,163.6496124267578,3376400,88,48.0,,0.48,42.24,1.8699951171875,0.010300165716077503
9,2016-09-30,0,0.05673770491803279,-0.05462988254575252,DIA,182.1300048828125,183.44000244140625,181.97000122070312,182.77999877929688,165.0583953857422,4583000,83,48.0,,0.48,39.84,0.0200042724609375,0.00010906265761989609
10,2016-10-18,12,0.07640983606557378,0.3467206009823751,DIA,181.94000244140625,182.1000061035156,181.1199951171875,181.3699951171875,163.78512573242188,1720700,39,69.0,,0.69,26.91,-1.3399963378906534,-0.007304820759139852
11,2016-10-20,7,0.06821311475409836,-0.10727311735679046,DIA,181.72000122070312,182.4499969482422,181.22000122070312,181.5399932861328,163.93861389160156,2359600,41,69.0,,0.69,28.29,0.3499908447265909,0.0019219705271598109
