,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,VTI_unscaled,VTI_monthly,isPartial,scale,VTI,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-25,7,0.07742276422764227,0.14417878168929454,VTI,106.51000213623048,107.13999938964844,106.51000213623048,106.93000030517578,97.16138458251952,3266500,92,10.0,,0.1,9.2,,
1,2016-06-07,1,0.06766666666666667,-0.12601071091042737,VTI,108.38999938964844,108.80999755859376,108.31999969482422,108.45999908447266,98.55158996582033,1271500,23,15.0,,0.15,3.45,1.6699981689453267,0.015587065320691762
2,2016-06-09,23,0.1034390243902439,0.5286555328607472,VTI,108.4499969482422,108.7300033569336,108.22000122070312,108.62000274658205,98.6969757080078,1743400,27,15.0,,0.15,4.05,-0.07999420166017046,-0.0007351732695066726
3,2016-06-14,1,0.06766666666666667,-0.3458303859152715,VTI,105.9000015258789,106.33000183105467,105.36000061035156,105.9499969482422,96.6962890625,2170100,24,15.0,,0.15,3.6,-2.4000015258789205,-0.0220730382762917
4,2016-06-24,2,0.06929268292682927,0.024029796948215942,VTI,104.12000274658205,105.94000244140624,103.86000061035156,104.0500030517578,94.96224212646484,7370400,100,15.0,,0.15,15.0,-0.3899993896484375,-0.003667820774310715
5,2016-07-11,1,0.06766666666666667,-0.43469401616518377,VTI,109.19000244140624,109.62000274658205,109.0,109.29000091552734,99.7445831298828,3868300,55,13.0,,0.13,7.15,3.6800003051758097,0.034736645463182336
6,2016-07-12,1,0.06766666666666667,0.0,VTI,109.87999725341795,110.4000015258789,109.68000030517578,110.1999969482422,100.57508850097656,3222800,83,13.0,,0.13,10.79,0.7799987792968608,0.0071154785600584525
7,2016-07-13,1,0.06766666666666667,0.0,VTI,110.43000030517578,110.5,109.80999755859376,110.13999938964844,100.52033233642578,1485700,100,13.0,,0.13,13.0,0.09999847412109375,0.0009057832675631872
8,2016-07-14,5,0.07417073170731707,0.0961191877928631,VTI,110.72000122070312,110.98999786376952,110.45999908447266,110.66999816894533,101.00404357910156,1561100,92,13.0,,0.13,11.96,0.48999786376951704,0.004434369807869043
9,2016-07-28,2,0.06929268292682927,0.024029796948215942,VTI,110.88999938964844,111.37999725341795,110.66000366210938,111.16000366210938,101.45124816894533,1945800,61,13.0,,0.13,7.930000000000001,0.3899993896484375,0.0035138246432542264
10,2016-08-17,1,0.06766666666666667,-0.1937421292260002,VTI,111.83999633789062,112.02999877929688,111.2699966430664,111.9499969482422,102.17224884033205,2791500,86,11.0,,0.11,9.46,0.6500015258789205,0.005835891020898432
11,2016-08-25,4,0.07254471544715448,0.07208939084464738,VTI,111.6999969482422,112.06999969482422,111.5500030517578,111.7699966430664,102.00796508789062,1205200,70,11.0,,0.11,7.7,0.04000091552734375,0.0003570553955476452
12,2016-09-08,2,0.06929268292682927,0.024029796948215942,VTI,112.56999969482422,112.66999816894533,112.26000213623048,112.45999908447266,102.63771057128906,1152400,35,10.0,,0.1,3.5,0.599998474121108,0.005353783133353662
13,2016-09-09,1,0.06766666666666667,-0.023465915757362565,VTI,111.72000122070312,111.7300033569336,109.6500015258789,109.66000366210938,100.08226013183594,3337400,81,10.0,,0.1,8.1,-0.939994812011733,-0.00834290252319203
14,2016-09-13,4,0.07254471544715448,0.07208939084464738,VTI,109.9499969482422,110.01000213623048,108.56999969482422,108.91999816894533,99.89112854003906,5122100,100,10.0,,0.1,10.0,-1.7200012207031108,-0.015394264468142738
15,2016-09-26,3,0.07091869918699187,-0.022413986327468383,VTI,110.63999938964844,110.87000274658205,110.20999908447266,110.2699966430664,101.12921142578124,2136700,57,10.0,,0.1,5.7,0.8600006103515625,0.007817476535329826
16,2016-10-14,2,0.06929268292682927,-0.022927891780350707,VTI,110.0,110.31999969482422,109.36000061035156,109.37000274658205,100.3038101196289,2673900,81,9.0,,0.09,7.29,-0.5500030517578267,-0.004960792262402869
17,2016-10-24,1,0.06766666666666667,-0.023465915757362565,VTI,110.38999938964844,110.5999984741211,110.12999725341795,110.3499984741211,101.20258331298828,2004700,87,9.0,,0.09,7.83,0.279998779296875,0.0025380600078990234
18,2016-11-10,2,0.06929268292682927,0.024029796948215942,VTI,111.58999633789062,112.12999725341795,110.4800033569336,111.37000274658205,102.13802337646484,5083500,63,13.0,,0.13,8.19,1.5299987792968608,0.01383362387346554
19,2016-11-14,1,0.06766666666666667,-0.023465915757362565,VTI,111.77999877929688,112.0500030517578,111.29000091552734,111.6999969482422,102.44066619873048,5234000,28,13.0,,0.13,3.64,-0.07999420166015625,-0.0007134059004689774
20,2016-11-29,1,0.06766666666666667,-0.045855783560701524,VTI,113.9000015258789,114.3499984741211,113.68000030517578,114.0500030517578,104.59587860107422,1544200,37,13.0,,0.13,4.8100000000000005,2.2999954223632955,0.020526509234461088
21,2016-12-06,2,0.06929268292682927,0.024029796948215942,VTI,114.33999633789062,114.70999908447266,114.0199966430664,114.68000030517578,105.17364501953124,2357100,70,11.0,,0.11,7.7,0.3600006103515625,0.0031482345007030066
22,2017-01-12,2,0.06929268292682927,-0.12341869793273674,VTI,117.04000091552734,117.04000091552734,116.01000213623048,116.93000030517578,107.90705871582033,2342300,62,13.0,,0.13,8.06,2.3300018310546875,0.02031210748540646
23,2017-02-02,1,0.06766666666666667,-0.08769045270196207,VTI,117.20999908447266,117.72000122070312,117.0199966430664,117.52999877929688,108.46076202392578,1745200,80,14.0,,0.14,11.2,0.6800003051757812,0.005809982056190988
24,2017-02-15,3,0.07091869918699187,0.04805959389643144,VTI,120.56999969482422,121.3499984741211,120.4499969482422,121.23999786376952,111.88449096679688,1998200,67,14.0,,0.14,9.38,3.6299972534179688,0.03083585810207734
25,2017-02-16,2,0.06929268292682927,-0.022927891780350707,VTI,121.25,121.37000274658205,120.63999938964844,121.12999725341795,111.78295135498048,2034600,97,14.0,,0.14,13.580000000000002,0.02000427246095171,0.0001648477355788991
26,2017-02-21,1,0.06766666666666667,-0.023465915757362565,VTI,121.5500030517578,122.12999725341795,121.38999938964844,122.02999877929688,112.613525390625,2422800,58,14.0,,0.14,8.120000000000001,0.7599945068359091,0.0062617985469008985
27,2017-02-23,4,0.07254471544715448,0.07208939084464738,VTI,122.20999908447266,122.2300033569336,121.31999969482422,121.77999877929688,112.38282012939452,2024900,72,14.0,,0.14,10.080000000000002,0.10000610351563921,0.0008188496337073747
28,2017-03-06,3,0.07091869918699187,-0.022413986327468383,VTI,122.4800033569336,122.4800033569336,121.9000015258789,122.2699966430664,112.83499145507812,1716200,70,16.0,,0.16,11.2,0.25,0.0020453243322751113
29,2017-03-15,4,0.07254471544715448,0.022927891780350818,VTI,121.9800033569336,123.04000091552734,121.88999938964844,122.79000091552734,113.31487274169922,1892200,77,16.0,,0.16,12.32,0.55999755859375,0.004572154990572619
30,2017-03-20,6,0.07579674796747968,0.04482797265493654,VTI,122.51000213623048,122.62000274658205,122.06999969482422,122.27999877929688,112.84420776367188,3239900,66,16.0,,0.16,10.56,-0.4199981689452983,-0.003413509150033578
31,2017-03-21,10,0.08230081300813008,0.08580928885551864,VTI,122.69000244140624,122.72000122070312,120.44000244140624,120.56999969482422,111.26617431640624,3355100,93,16.0,,0.16,14.88,0.09999847412107954,0.0008155151841560127
32,2017-03-28,1,0.06766666666666667,-0.17781290131383976,VTI,119.95999908447266,121.13999938964844,119.77999877929688,120.86000061035156,112.03694915771484,2699200,92,16.0,,0.16,14.72,-1.5800018310546875,-0.012874851819901556
