,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,AMZN_unscaled,AMZN_monthly,isPartial,scale,AMZN,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,1,0.004076923076923077,0.0,AMZN,663.9199829101562,685.5,662.030029296875,683.8499755859375,683.8499755859375,6578500,69,20.0,,0.2,13.8,,
1,2016-05-04,2,0.004257918552036199,0.04439511653718098,AMZN,662.5900268554688,674.0,662.1400146484375,670.9000244140625,670.9000244140625,4635500,57,20.0,,0.2,11.4,-11.5,-0.016776075857038664
2,2016-05-10,50,0.012945701357466064,2.0403825717322,AMZN,694.0,704.5499877929688,693.5,703.0700073242188,703.0700073242188,6105600,89,20.0,,0.2,17.8,30.54998779296875,0.04532639138422656
3,2016-05-11,2,0.004257918552036199,-0.6710940230688571,AMZN,705.7899780273438,719.0,701.6500244140625,713.22998046875,713.22998046875,7338200,100,20.0,,0.2,20.0,14.45001220703125,0.020509562781054758
4,2016-05-12,18,0.007153846153846154,0.6801275239107332,AMZN,717.3800048828125,722.4500122070312,711.510009765625,717.9299926757812,717.9299926757812,5048200,84,20.0,,0.2,16.8,3.45001220703125,0.004798347993089314
5,2016-05-13,2,0.004257918552036199,-0.40480708412397215,AMZN,714.6400146484375,719.25,706.510009765625,709.9199829101562,709.9199829101562,4763400,71,20.0,,0.2,14.2,-3.20001220703125,-0.004429389096770153
6,2016-05-16,3,0.004438914027149321,-0.039177277179236025,AMZN,710.1300048828125,713.25,700.280029296875,710.6599731445312,710.6599731445312,5432900,65,20.0,,0.2,13.0,-6.0,-0.008342022940563076
7,2016-05-17,2,0.004257918552036199,-0.04077471967380231,AMZN,709.9000244140625,714.469970703125,693.9099731445312,695.27001953125,695.27001953125,5121400,56,20.0,,0.2,11.2,1.219970703125,0.001710439121100693
8,2016-05-18,1,0.004076923076923077,-0.04250797024442088,AMZN,689.5599975585938,702.5399780273438,688.760009765625,697.4500122070312,697.4500122070312,4283200,57,20.0,,0.2,11.4,-11.92999267578125,-0.016697682428893024
9,2016-05-20,2,0.004257918552036199,0.04439511653718098,AMZN,701.0499877929688,707.239990234375,700.0,702.7999877929688,702.7999877929688,2916200,46,20.0,,0.2,9.2,4.70001220703125,0.006690028118013114
10,2016-05-23,10,0.005705882352941176,0.39955604883462814,AMZN,704.25,706.0,696.4199829101562,696.75,696.75,2595100,40,20.0,,0.2,8.0,-1.239990234375,-0.0017532807130491435
11,2016-05-24,12,0.0060678733031674205,0.063441712926249,AMZN,698.010009765625,707.5,698.0,704.2000122070312,704.2000122070312,3033800,47,20.0,,0.2,9.4,1.5,0.0021246458923511735
12,2016-05-25,9,0.005524886877828055,-0.0894854586129753,AMZN,708.0,710.8599853515625,705.52001953125,708.3499755859375,708.3499755859375,3267700,41,20.0,,0.2,8.200000000000001,3.3599853515625,0.004749095903268552
13,2016-05-26,4,0.004619909502262444,-0.16380016380016382,AMZN,708.3300170898438,715.0,707.2899780273438,714.9099731445312,714.9099731445312,2446700,51,20.0,,0.2,10.2,4.1400146484375,0.005823952302491664
14,2016-05-27,1,0.004076923076923077,-0.11753183153770819,AMZN,715.0,716.5999755859375,711.0999755859375,712.239990234375,712.239990234375,2249200,40,20.0,,0.2,8.0,1.5999755859375,0.002237728092220337
