,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,X_unscaled,X_monthly,isPartial,scale,X,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-06,1,0.027785714285714285,-0.2112200067590403,X,18.61000061035156,19.489999771118164,18.31999969482422,18.88999938964844,18.067626953125,15855100,62,75.0,,0.75,46.5,,
1,2016-05-26,1,0.027785714285714285,0.0,X,15.199999809265137,15.350000381469728,14.510000228881836,14.75,14.145304679870604,19587500,74,75.0,,0.75,55.5,-4.139999389648436,-0.21241659508808286
2,2016-06-17,2,0.029273809523809525,0.05355612682090838,X,18.0,18.59000015258789,17.8700008392334,17.979999542236328,17.24288558959961,19237600,71,70.0,,0.7,49.7,3.2399997711181623,0.2110748984103894
3,2016-06-20,1,0.027785714285714285,-0.05083367222448154,X,18.299999237060547,18.709999084472656,18.100000381469727,18.299999237060547,17.549766540527344,12511600,73,70.0,,0.7,51.1,0.11999893188476562,0.006455025868736142
4,2016-06-29,2,0.029273809523809525,0.05355612682090838,X,16.190000534057617,16.329999923706055,15.859999656677246,15.970000267028809,15.315287590026855,11958800,70,70.0,,0.7,49.0,-2.3799991607666016,-0.12720466473682257
5,2016-07-01,3,0.03076190476190476,0.05083367222448154,X,16.700000762939453,18.420000076293945,16.700000762939453,18.270000457763672,17.520999908447266,23012100,87,67.0,False,0.67,58.290000000000006,2.0900001525878906,0.1279853130650579
6,2016-07-13,5,0.03373809523809524,0.09674922600619196,X,21.350000381469727,21.38999938964844,20.46999931335449,21.1200008392334,20.2541561126709,13576100,93,67.0,,0.67,62.31,2.9699993133544957,0.1612377470712829
7,2016-07-14,119,0.20338095238095238,5.028228652081863,X,21.270000457763672,21.5,20.690000534057617,21.280000686645508,20.40759658813477,12760900,90,67.0,,0.67,60.3,0.11000061035155895,0.005142618676501343
8,2016-07-15,1,0.027785714285714285,-0.8633809412315617,X,21.1200008392334,21.899999618530277,21.100000381469727,21.68000030517578,20.79119682312012,8746400,86,67.0,,0.67,57.620000000000005,0.399999618530277,0.01860463342001295
9,2016-07-26,1,0.027785714285714285,0.0,X,21.200000762939453,23.34000015258789,21.149999618530277,22.950000762939453,22.00913619995117,24004200,89,67.0,,0.67,59.63,1.4400005340576136,0.06575345018906686
10,2016-07-28,1,0.027785714285714285,0.0,X,25.01000022888184,26.920000076293945,24.540000915527344,26.899999618530277,25.79719352722168,18163000,90,67.0,,0.67,60.3,3.5799999237060547,0.15338474294350468
11,2016-07-29,2,0.029273809523809525,0.05355612682090838,X,26.440000534057617,27.63999938964844,26.350000381469727,27.489999771118164,26.36301040649414,16517900,87,67.0,,0.67,58.290000000000006,0.7199993133544957,0.026745888236030746
12,2016-08-11,1,0.027785714285714285,-0.05083367222448154,X,23.3700008392334,23.5,22.309999465942383,22.68000030517578,21.79133033752441,18386900,88,61.0,,0.61,53.68,-4.139999389648441,-0.14978290452491572
13,2016-08-22,3,0.03076190476190476,0.0,X,20.399999618530277,21.020000457763672,20.11000061035156,20.950000762939453,20.129125595092773,15288500,87,61.0,,0.61,53.07,-2.479999542236328,-0.10553189541431185
14,2016-08-30,1,0.027785714285714285,-0.09674922600619196,X,20.06999969482422,20.190000534057617,19.31999969482422,19.51000022888184,18.74554443359375,11683900,91,61.0,,0.61,55.51,-0.8299999237060547,-0.03948619912610407
15,2016-08-31,2,0.029273809523809525,0.05355612682090838,X,19.209999084472656,19.46999931335449,18.86000061035156,19.440000534057617,18.678285598754883,15406900,92,61.0,,0.61,56.12,-0.7200012207031286,-0.035661277942444336
16,2016-09-06,13,0.045642857142857145,0.5591703944692965,X,19.059999465942383,19.56999969482422,18.700000762939453,19.479999542236328,18.716716766357425,12176200,92,63.0,,0.63,57.96,0.10000038146973012,0.0051361266048499665
17,2016-09-15,3,0.03076190476190476,0.10711225364181653,X,16.280000686645508,16.459999084472656,15.84000015258789,16.059999465942383,15.430724143981934,14493100,88,63.0,,0.63,55.44,-3.1100006103515625,-0.15891674291513047
18,2016-09-16,1,0.027785714285714285,-0.09674922600619196,X,15.789999961853027,16.25,15.720000267028809,15.90999984741211,15.286602020263672,15740400,87,63.0,,0.63,54.81,-0.20999908447265625,-0.012758146789373592
19,2016-09-22,1,0.027785714285714285,0.0,X,18.540000915527344,18.940000534057617,17.989999771118164,18.200000762939453,17.486873626708984,23123400,97,63.0,,0.63,61.11,2.690000534057617,0.16553849440354562
20,2016-09-23,1,0.027785714285714285,0.0,X,18.51000022888184,19.309999465942383,18.5,18.950000762939453,18.207489013671875,19508400,86,63.0,,0.63,54.18,0.3699989318847656,0.019535317922480422
21,2016-09-27,1,0.027785714285714285,0.0,X,18.93000030517578,19.3700008392334,18.65999984741211,19.229999542236328,18.476512908935547,16630400,86,63.0,,0.63,54.18,0.060001373291015625,0.0031072695468916667
22,2016-09-28,7,0.03671428571428571,0.3213367609254498,X,19.81999969482422,20.13999938964844,19.21999931335449,20.1299991607666,19.34125328063965,18335900,90,63.0,,0.63,56.7,0.7699985504150426,0.03975211755569119
23,2016-09-29,9,0.03969047619047619,0.0810635538261999,X,20.0,20.280000686645508,18.6299991607666,19.01000022888184,18.265134811401367,23414500,91,63.0,,0.63,57.33,0.14000129699706676,0.006951405225415375
24,2016-09-30,7,0.03671428571428571,-0.07498500299940025,X,19.229999542236328,19.280000686645508,18.459999084472656,18.86000061035156,18.12101554870605,15237300,86,63.0,,0.63,54.18,-1.0,-0.04930966302474071
25,2016-10-05,1,0.027785714285714285,-0.3487723214285714,X,17.65999984741211,17.959999084472656,17.25,17.6200008392334,16.92959976196289,11930000,93,64.0,,0.64,59.52,-1.3200016021728516,-0.06846481095237533
26,2016-10-27,7,0.03671428571428571,0.3213367609254498,X,19.86000061035156,20.0,19.36000061035156,19.520000457763672,18.755151748657227,18899000,90,64.0,,0.64,57.6,2.0400009155273438,0.11358580286849951
27,2016-11-04,1,0.027785714285714285,-0.24319066147859925,X,19.200000762939453,20.18000030517578,19.01000022888184,19.86000061035156,19.081830978393555,22665400,86,62.0,,0.62,53.32,0.18000030517578125,0.009000015258789018
28,2016-11-07,-3,0.021833333333333333,-0.2142245072836333,X,20.549999237060547,20.950000762939453,20.01000022888184,20.6299991607666,19.821657180786133,19101700,87,62.0,,0.62,53.94,0.7700004577636719,0.03815661279084237
