,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,NYC_unscaled,NYC_monthly,isPartial,scale,NYC,Stock_Price_Change,Stock_Price_Change_Percent
0,2020-08-18,20,0.026461489497135584,0.7636502481863305,NYC,30.0,30.0,15.5,17.600000381469727,17.600000381469727,102300,78,56.0,,0.56,43.68000000000001,,
1,2020-08-19,15,0.023278803309993636,-0.12027615404969816,NYC,16.350000381469727,17.600000381469727,13.380000114440918,14.479000091552734,14.479000091552734,87700,82,56.0,,0.56,45.92,-12.399999618530273,-0.4133333206176758
2,2020-08-20,13,0.022005728835136858,-0.05468814087665086,NYC,14.949999809265137,14.949999809265137,14.079999923706056,14.75,14.75,44500,74,56.0,,0.56,41.440000000000005,-2.65000057220459,-0.15056821106632812
3,2020-08-21,78,0.06338064926798218,1.880188597379306,NYC,14.390000343322754,14.5,13.25,13.829999923706056,13.829999923706056,27900,73,56.0,,0.56,40.88,-0.4499998092651367,-0.03010032207400115
4,2020-08-24,32,0.034099936346276255,-0.31818355372847495,NYC,13.760000228881836,14.050000190734863,13.510000228881836,13.789999961853027,13.789999961853027,28700,80,56.0,,0.56,44.8,-0.4499998092651367,-0.031034469604492188
5,2020-08-25,72,0.05956142584341184,0.7466726400477872,NYC,13.529999732971191,13.75,13.420000076293944,13.539999961853027,13.539999961853027,29300,80,56.0,,0.56,44.8,-0.3000001907348633,-0.021352326452827808
6,2020-08-26,13,0.022005728835136858,-0.6305372391018584,NYC,13.449999809265137,13.539999961853027,13.140000343322754,13.25,13.25,27700,74,56.0,,0.56,41.440000000000005,-0.21000003814697266,-0.01527273004705254
7,2020-08-27,3,0.01564035646085296,-0.289259784212201,NYC,13.25,13.989999771118164,13.210000038146973,13.949999809265137,13.949999809265137,19500,78,56.0,,0.56,43.68000000000001,0.4499998092651367,0.03323484568190138
8,2020-08-28,29,0.03219032463399109,1.0581579911277519,NYC,13.8100004196167,14.0,13.397000312805176,13.472999572753906,13.472999572753906,15700,79,56.0,,0.56,44.24,0.010000228881835938,0.0007148126551423939
9,2020-08-31,10,0.020096117122851687,-0.20216825452983245,NYC,13.470000267028809,14.0,13.15999984741211,13.300000190734863,13.300000190734863,13900,81,56.0,,0.56,45.36000000000001,0.0,0.0
10,2020-09-01,1,0.01436728198599618,-0.28507174305533567,NYC,13.15999984741211,13.684000015258787,13.109999656677246,13.25,13.25,8000,98,54.0,False,0.54,52.92,-0.3159999847412127,-0.022571427481515194
11,2020-09-02,268,0.1843227243793762,11.829338531744275,NYC,13.229999542236328,13.40999984741211,13.109999656677246,13.1899995803833,13.1899995803833,14300,90,54.0,,0.54,48.6,-0.2740001678466779,-0.020023397218733252
12,2020-09-03,71,0.05892488860598345,-0.680316744425374,NYC,13.149999618530272,13.225000381469728,12.770000457763672,13.109999656677246,13.109999656677246,17300,87,54.0,,0.54,46.98,-0.18499946594238104,-0.013795635201150458
13,2020-09-04,21,0.027098026734563973,-0.5401259573732595,NYC,13.109999656677246,13.109999656677246,12.770000457763672,12.81999969482422,12.81999969482422,17000,81,54.0,,0.54,43.74,-0.11500072479248225,-0.008695706727813501
14,2020-09-08,32,0.034099936346276255,1.3734437995658144,NYC,12.890000343322754,12.890000343322754,12.30799961090088,12.3100004196167,12.3100004196167,43400,88,54.0,,0.54,47.52,-0.2199993133544922,-0.016781031206392183
15,2020-09-09,9,0.0194595798854233,-0.42933676802747744,NYC,12.25,12.25,12.031999588012695,12.149999618530272,12.149999618530272,16500,90,54.0,,0.54,48.6,-0.6400003433227539,-0.049650917476839695
16,2020-09-10,50,0.04555760661998727,1.3411402963592947,NYC,12.119999885559082,12.119999885559082,12.050000190734863,12.100000381469728,12.100000381469728,6600,89,54.0,,0.54,48.06,-0.13000011444091797,-0.010612254240074948
17,2020-09-11,32,0.034099936346276255,-0.2514985119671376,NYC,12.010000228881836,12.05500030517578,12.010000228881836,12.050000190734863,12.050000190734863,7300,93,54.0,,0.54,50.220000000000006,-0.06499958038330256,-0.005363001732429873
18,2020-09-14,23,0.02837110120942075,0.9747020513047717,NYC,11.859999656677246,12.149999618530272,11.725000381469728,12.0,12.0,15800,90,54.0,,0.54,48.6,0.09499931335449219,0.007880490331775736
19,2020-09-15,872,0.5687912157861235,19.04826007942384,NYC,12.0,12.039999961853027,11.899999618530272,11.939000129699709,11.939000129699709,15300,88,54.0,,0.54,47.52,-0.10999965667724432,-0.009053469969618866
20,2020-09-16,37,0.03728262253341821,-0.9344528862284026,NYC,11.9399995803833,12.56999969482422,11.90999984741211,12.510000228881836,12.510000228881836,16100,92,54.0,,0.54,49.68000000000001,0.5299997329711932,0.044019911515815524
21,2020-09-17,1,0.01436728198599618,-0.614638643697393,NYC,12.609999656677246,12.949999809265137,12.5,12.770000457763672,12.770000457763672,4900,94,54.0,,0.54,50.760000000000005,0.3800001144409162,0.030230717873237722
22,2020-09-18,17,0.024551877784850414,0.7088742191307431,NYC,12.699999809265137,13.524999618530272,12.628000259399414,13.5,13.5,10400,84,54.0,,0.54,45.36,0.5749998092651349,0.04440153032695404
23,2020-09-21,32,0.034099936346276255,0.2583918630053321,NYC,13.199999809265137,13.539999961853027,12.880000114440918,12.880000114440918,12.880000114440918,5300,86,54.0,,0.54,46.440000000000005,0.015000343322755683,0.0011090827168827033
24,2020-09-22,8,0.01882304264799491,-0.44800358402867213,NYC,13.210000038146973,13.210000038146973,12.5,12.5,12.5,8000,90,54.0,,0.54,48.6,-0.3299999237060547,-0.024372224862317715
