,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,WWE_unscaled,WWE_monthly,isPartial,scale,WWE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-06-17,3,0.0032935779816513763,0.0,WWE,18.6200008392334,18.850000381469727,18.32999992370605,18.559999465942383,17.34067726135254,522600,35,83.0,,0.83,29.05,,
1,2016-08-31,0,0.0028635321100917432,-0.13057103064066855,WWE,21.01000022888184,21.07999992370605,20.6299991607666,20.770000457763672,19.405487060546875,299500,34,93.0,,0.93,31.62,2.2299995422363246,0.11830236058926014
2,2016-12-07,1,0.0030068807339449543,0.05006007208650387,WWE,18.899999618530277,19.479999542236328,18.899999618530277,19.43000030517578,18.26299476623535,213800,60,81.0,,0.81,48.6,-1.600000381469723,-0.07590134664423798
3,2016-12-09,8,0.004010321100917431,0.3337147215865752,WWE,20.0,20.290000915527344,19.899999618530277,20.270000457763672,19.05254364013672,225700,47,81.0,,0.81,38.07,0.8100013732910156,0.04158118030417701
4,2016-12-13,6,0.0037236238532110093,0.18201674554058966,WWE,18.700000762939453,19.149999618530277,18.51000022888184,18.979999542236328,17.94808578491211,2540700,66,81.0,,0.81,53.46,-1.1400012969970668,-0.05618537434981863
5,2016-12-21,1,0.0030068807339449543,-0.19248537111179553,WWE,18.8700008392334,19.06999969482422,18.770000457763672,18.8700008392334,17.844064712524414,622500,65,81.0,,0.81,52.650000000000006,-0.07999992370605824,-0.004177541791105188
6,2017-01-04,11,0.004440366972477064,0.4767353165522501,WWE,18.25,19.0,18.25,18.920000076293945,17.891347885131836,617900,31,81.0,,0.81,25.110000000000003,-0.06999969482421875,-0.0036706709986585873
7,2017-02-01,4,0.0034369266055045873,-0.040038436899423435,WWE,19.739999771118164,19.950000762939453,19.520000457763672,19.61000061035156,18.54382705688477,771500,60,74.0,False,0.74,44.4,0.9500007629394531,0.05000004015470805
8,2017-02-08,1,0.0030068807339449543,-0.12512512512512508,WWE,19.549999237060547,19.549999237060547,19.1200008392334,19.280000686645508,18.23177528381348,1144000,54,74.0,,0.74,39.96,-0.40000152587890625,-0.02005020103166999
9,2017-02-09,7,0.0038669724770642204,0.2860411899313502,WWE,20.01000022888184,21.440000534057617,19.71999931335449,20.959999084472656,19.820430755615234,2182200,43,74.0,,0.74,31.82,1.8900012969970703,0.09667526193117348
10,2017-02-21,1,0.0030068807339449543,-0.22241992882562278,WWE,22.15999984741211,22.43000030517578,22.100000381469727,22.26000022888184,21.04975891113281,736600,67,74.0,,0.74,49.58,0.9899997711181641,0.04617536130866884
11,2017-04-06,37,0.00816743119266055,1.7162471395881003,WWE,22.059999465942383,22.399999618530277,21.8799991607666,22.34000015258789,21.25127601623535,384400,25,89.0,,0.89,22.25,-0.03000068664550426,-0.00133752502172646
12,2017-04-18,2,0.0031502293577981653,-0.6142937377141252,WWE,21.299999237060547,21.350000381469727,20.76000022888184,20.8700008392334,19.852916717529297,1346600,27,89.0,,0.89,24.03,-1.0499992370605504,-0.04687496673847902
13,2017-04-20,4,0.0034369266055045873,0.09100837277029483,WWE,21.21999931335449,21.34000015258789,20.979999542236328,21.270000457763672,20.23342704772949,595600,19,89.0,,0.89,16.91,-0.010000228881835938,-0.00046839478703308846
14,2017-05-04,12,0.0045837155963302754,0.33366700033366703,WWE,20.450000762939453,20.479999542236328,19.75,19.790000915527344,18.825551986694336,1172900,52,70.0,,0.7,36.4,-0.8600006103515625,-0.04029993459242176
15,2017-05-16,9,0.004153669724770642,0.318529304696032,WWE,19.709999084472656,19.709999084472656,19.350000381469727,19.5,18.549680709838867,564500,58,70.0,,0.7,40.6,-0.7700004577636719,-0.03759767944211545
16,2017-05-24,6,0.0037236238532110093,-0.10353395913859742,WWE,19.780000686645508,19.940000534057617,19.68000030517578,19.75,18.78749656677246,165900,51,70.0,,0.7,35.7,0.23000144958496094,0.011669277537722067
17,2017-07-03,3,0.0032935779816513763,0.09534706331045006,WWE,20.420000076293945,20.459999084472656,20.09000015258789,20.32999992370605,19.451616287231445,184600,53,74.0,,0.74,39.22,0.5199985504150391,0.026078161308314973
18,2017-07-19,6,0.0037236238532110093,0.13057103064066844,WWE,20.82999992370605,21.56999969482422,20.809999465942383,21.290000915527344,20.37013435363769,779800,53,74.0,,0.74,39.22,1.1100006103515625,0.054252231672578866
19,2017-07-25,3,0.0032935779816513763,-0.11549122266707734,WWE,21.770000457763672,22.170000076293945,21.559999465942383,21.739999771118164,20.800689697265625,644500,62,74.0,,0.74,45.88,0.6000003814697266,0.027816429761642336
20,2017-07-27,2,0.0031502293577981653,-0.04352367688022285,WWE,22.350000381469727,22.459999084472656,21.1299991607666,21.88999938964844,20.9442138671875,1286200,43,74.0,,0.74,31.82,0.28999900817871094,0.013080694956280281
21,2017-08-09,8,0.004010321100917431,0.2730251183108845,WWE,20.690000534057617,20.899999618530277,20.559999465942383,20.84000015258789,19.93958282470703,338800,47,70.0,,0.7,32.9,-1.5599994659423793,-0.06945679116348935
22,2017-08-10,2,0.0031502293577981653,-0.21446954532456386,WWE,20.8799991607666,21.5,20.850000381469727,21.290000915527344,20.37013435363769,754300,38,70.0,,0.7,26.6,0.600000381469723,0.028708152747416893
23,2017-08-24,4,0.0034369266055045873,0.09100837277029483,WWE,20.809999465942383,21.13999938964844,20.770000457763672,20.959999084472656,20.054393768310547,317300,42,70.0,,0.7,29.4,-0.36000061035155895,-0.016744214434956217
