,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,PRI_unscaled,PRI_monthly,isPartial,scale,PRI,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-08-07,1,0.001,,PRI,117.0500030517578,118.3499984741211,116.0999984741211,116.1500015258789,111.0948486328125,226400,69,79.0,,0.79,54.510000000000005,,
1,2019-04-24,1,0.001,-0.999000999000999,PRI,127.44000244140624,127.8000030517578,125.6500015258789,127.1999969482422,122.52801513671876,204800,78,74.0,,0.74,57.72,9.450004577636705,0.07984794845352772
2,2019-05-02,1,0.001,0.0,PRI,129.33999633789062,130.55999755859375,126.73999786376952,128.13999938964844,123.43348693847656,130600,77,78.0,,0.78,60.06,2.7599945068359517,0.02159620063325174
3,2019-12-19,1,0.001,-0.9970089730807578,PRI,135.22999572753906,135.24000549316406,134.32000732421875,134.94000244140625,131.05950927734375,155600,49,99.0,,0.99,48.51,4.6800079345703125,0.035845649678952984
4,2020-03-13,1,0.001,0.0,PRI,94.95999908447266,99.87999725341795,91.37999725341795,98.72000122070312,96.16311645507812,313200,74,78.0,,0.78,57.72,-35.36000823974611,-0.26146115648844337
5,2020-03-19,1,0.001,0.0,PRI,72.55999755859375,74.56999969482422,68.41999816894531,71.02999877929688,69.19029235839844,495200,75,78.0,,0.78,58.5,-25.309997558593736,-0.2534040674268001
6,2020-04-16,2,0.3343333333333333,333.3333333333333,PRI,90.01000213623047,92.04000091552734,89.75,91.97000122070312,89.58793640136719,269300,78,69.0,,0.69,53.81999999999999,17.470001220703125,0.23427653603592136
7,2020-04-27,1,0.001,-0.9970089730807578,PRI,96.72000122070312,99.69000244140624,96.72000122070312,97.6999969482422,95.16952514648438,300600,69,69.0,,0.69,47.61,7.650001525878892,0.08311605225753893
8,2020-09-02,1,0.001,0.0,PRI,124.11000061035156,126.5,123.80999755859376,126.0999984741211,123.67345428466795,141400,82,69.0,,0.69,56.58,26.809997558593764,0.26893366337664193
9,2020-09-21,1,0.001,0.0,PRI,114.26000213623048,115.62999725341795,110.66000366210938,112.8499984741211,110.67841339111328,313900,72,69.0,,0.69,49.67999999999999,-10.870002746582045,-0.08592887546705175
10,2020-11-20,1,0.001,0.0,PRI,129.5,129.75,128.27000427246094,129.1999969482422,127.1054916381836,121700,82,66.0,,0.66,54.120000000000005,14.120002746582045,0.12211366498293907
11,2020-12-01,1,0.001,0.0,PRI,132.64999389648438,133.6300048828125,131.7899932861328,133.41000366210938,131.2472686767578,100200,77,70.0,False,0.7,53.9,3.8800048828125,0.02990369851878616
12,2021-01-27,1,0.001,0.0,PRI,132.08999633789062,135.0,130.6999969482422,135.0,132.81149291992188,429400,84,70.0,,0.7,58.8,1.3699951171875,0.010252151965338463
13,2021-06-28,2,0.3343333333333333,0.0,PRI,154.5399932861328,154.55999755859375,151.42999267578125,152.25,150.7197723388672,160800,52,73.0,,0.73,37.96,19.55999755859375,0.14488887080439805
14,2021-09-03,1,0.001,0.0,PRI,151.9199981689453,152.77999877929688,150.10000610351562,151.9600067138672,150.9049835205078,60500,98,69.0,,0.69,67.61999999999999,-1.779998779296875,-0.01151655543098773
