,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,Stock_Price_Change,Stock_Price_Change_Percent
0,2017-10-05,1,0.001,,CDNA,5.820000171661377,6.690000057220459,5.340000152587891,5.820000171661377,5.820000171661377,13932500,,
1,2017-10-10,1,0.001,0.0,CDNA,5.75,5.869999885559082,5.510000228881836,5.78000020980835,5.78000020980835,536400,-0.820000171661377,-0.12257102610580073
2,2018-05-31,2,1.001,999.9999999999999,CDNA,12.449999809265137,13.31999969482422,12.4399995803833,13.239999771118164,13.239999771118164,908500,7.4499998092651385,1.2691652392690926
3,2019-02-27,1,0.001,-0.999000999000999,CDNA,28.940000534057617,31.93000030517578,28.75,31.559999465942383,31.559999465942383,1541000,18.610000610351562,1.3971472249795087
4,2020-07-27,1,0.001,0.0,CDNA,32.790000915527344,33.220001220703125,32.029998779296875,32.939998626708984,32.939998626708984,415900,1.2900009155273438,0.040400905205072446
5,2020-09-01,1,0.001,0.0,CDNA,34.27000045776367,34.52000045776367,33.650001525878906,33.790000915527344,33.790000915527344,291500,1.2999992370605469,0.03913302797383311
6,2020-10-08,1,0.001,0.0,CDNA,50.0,52.5,49.25,50.52999877929688,50.52999877929688,2983100,17.979999542236328,0.5208574537603334
7,2020-11-06,1,0.001,0.0,CDNA,54.11000061035156,55.0,53.5099983215332,54.040000915527344,54.040000915527344,361500,2.5,0.04761904761904767
8,2020-11-30,1,0.001,0.0,CDNA,57.20000076293945,58.375,55.29999923706055,57.16999816894531,57.16999816894531,728500,3.375,0.06136363636363629
9,2020-12-04,1,0.001,0.0,CDNA,61.93999862670898,65.28500366210938,60.02000045776367,64.91000366210938,64.91000366210938,467900,6.910003662109375,0.11837265374063177
10,2020-12-10,1,0.001,0.0,CDNA,65.30000305175781,71.05000305175781,65.30000305175781,70.66999816894531,70.66999816894531,664600,5.7649993896484375,0.088305109386007
11,2020-12-31,1,0.001,0.0,CDNA,75.23999786376953,75.23999786376953,70.95999908447266,72.44999694824219,72.44999694824219,539300,4.189994812011719,0.058972478987220134
12,2021-01-04,1,0.001,0.0,CDNA,72.68000030517578,74.80999755859375,70.93000030517578,71.48999786376953,71.48999786376953,619800,-0.43000030517578125,-0.005715049407023498
13,2021-01-14,2,1.001,999.9999999999999,CDNA,85.125,88.47699737548828,84.52999877929688,86.83000183105469,86.83000183105469,1082900,13.666999816894531,0.18268948353046088
14,2021-01-20,2,1.001,0.0,CDNA,93.36000061035156,99.83000183105467,93.36000061035156,95.5999984741211,95.5999984741211,1030100,11.353004455566392,0.1283158876581818
15,2021-02-09,1,0.001,0.0,CDNA,92.8000030517578,94.66999816894533,89.802001953125,91.3000030517578,91.3000030517578,901600,-5.160003662109347,-0.05168790511335242
16,2021-02-10,1,0.001,0.0,CDNA,90.50800323486328,94.4499969482422,87.66000366210938,90.43000030517578,90.43000030517578,649800,-0.220001220703125,-0.002323874775095214
17,2021-11-09,2,1.001,999.9999999999999,CDNA,47.540000915527344,48.23500061035156,45.81999969482422,46.84999847412109,46.84999847412109,621000,-46.21499633789064,-0.4893064884185869
18,2021-11-10,2,1.001,0.0,CDNA,47.20000076293945,49.18000030517578,46.77799987792969,47.20000076293945,47.20000076293945,560500,0.9449996948242188,0.019591576300745706
19,2021-11-17,1,0.001,-0.999000999000999,CDNA,47.5,47.869998931884766,43.40999984741211,43.52999877929688,43.52999877929688,805900,-1.3100013732910156,-0.026636872004109136
