,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,Stock_Price_Change,Stock_Price_Change_Percent
13,2016-12-15,1,0.008575757575757577,0.0,ONVO,76.5999984741211,81.5999984741211,75.4000015258789,79.0,79.0,180850,1.4000015258789062,0.017456378792413352
14,2017-02-09,1,0.008575757575757577,0.0,ONVO,74.0,75.4000015258789,72.5999984741211,75.4000015258789,75.4000015258789,86225,-6.1999969482421875,-0.07598035617866439
15,2017-06-07,2,0.016151515151515153,0.8833922261484097,ONVO,57.400001525878906,58.59999847412109,55.59999847412109,56.59999847412109,56.59999847412109,60110,-16.80000305175782,-0.22281170705270736
16,2017-07-21,1,0.008575757575757577,-0.46904315196998125,ONVO,46.400001525878906,48.59999847412109,46.0,47.400001525878906,47.400001525878906,45925,-10.0,-0.17064846860731908
17,2017-08-09,2,0.016151515151515153,0.8833922261484097,ONVO,41.79999923706055,42.59999847412109,41.400001525878906,41.59999847412109,41.59999847412109,35335,-6.0,-0.12345679399959097
18,2017-10-23,2,0.016151515151515153,0.0,ONVO,32.400001525878906,34.599998474121094,32.0,33.20000076293945,33.20000076293945,110765,-7.999999999999993,-0.18779343395657355
19,2018-03-12,2,0.016151515151515153,0.0,ONVO,23.399999618530277,24.799999237060547,22.799999237060547,23.399999618530277,23.399999618530277,49750,-9.799999237060547,-0.2832369846602858
20,2019-10-16,1,0.008575757575757577,-0.46904315196998125,ONVO,5.800000190734863,6.0,5.599999904632568,5.599999904632568,5.599999904632568,23380,-18.799999237060547,-0.7580645086862043
21,2019-12-16,1,0.008575757575757577,0.0,ONVO,11.800000190734863,13.0,10.399999618530272,12.399999618530272,12.399999618530272,200395,7.0,1.1666666666666665
22,2020-05-12,2,0.016151515151515153,0.8833922261484097,ONVO,13.600000381469728,16.399999618530273,12.800000190734863,14.800000190734863,14.800000190734863,176025,3.3999996185302734,0.26153843219463635
23,2020-06-01,1,0.008575757575757577,-0.46904315196998125,ONVO,13.199999809265137,14.800000190734863,12.800000190734863,13.800000190734863,13.800000190734863,69135,-1.5999994277954102,-0.0975609429885339
24,2020-06-05,1,0.008575757575757577,0.0,ONVO,13.600000381469728,14.0,12.600000381469728,13.399999618530272,13.399999618530272,63635,-0.8000001907348633,-0.05405406624492348
25,2020-07-15,1,0.008575757575757577,0.0,ONVO,11.800000190734863,13.600000381469728,11.800000190734863,12.800000190734863,12.800000190734863,68570,-0.39999961853027166,-0.028571401323590817
26,2020-08-19,2,0.016151515151515153,0.8833922261484097,ONVO,11.8100004196167,12.470000267028809,9.09000015258789,9.279999732971191,9.279999732971191,243500,-1.1300001144409197,-0.08308824137832871
27,2020-10-21,1,0.008575757575757577,-0.46904315196998125,ONVO,8.25,11.390000343322754,8.25,10.8100004196167,10.8100004196167,1326300,-1.0799999237060547,-0.08660785088847345
28,2020-12-21,1,0.008575757575757577,0.0,ONVO,9.779999732971191,14.279999732971191,9.75,13.5,13.5,1244500,2.8899993896484375,0.2537312820488775
29,2020-12-22,2,0.016151515151515153,0.8833922261484097,ONVO,13.31999969482422,17.5,13.31999969482422,17.049999237060547,17.049999237060547,965000,3.2200002670288086,0.2254902189944814
30,2021-02-03,1,0.008575757575757577,0.0,ONVO,13.68000030517578,15.380000114440918,13.68000030517578,14.270000457763672,14.270000457763672,315200,-2.119999885559082,-0.12114285060337615
31,2021-02-11,3,0.02372727272727273,1.7667844522968195,ONVO,18.3799991607666,23.920000076293945,18.3799991607666,21.700000762939453,21.700000762939453,811700,8.539999961853027,0.5552665733620163
32,2021-02-12,1,0.008575757575757577,-0.6385696040868454,ONVO,21.020000457763672,21.5,19.15999984741211,19.38999938964844,19.38999938964844,401800,-2.4200000762939453,-0.10117057142873087
33,2021-02-18,1,0.008575757575757577,0.0,ONVO,17.0,17.100000381469727,14.100000381469728,14.470000267028809,14.470000267028809,708900,-4.399999618530273,-0.2046511450479197
34,2021-02-24,1,0.008575757575757577,0.0,ONVO,12.220000267028809,14.199999809265137,11.6899995803833,13.850000381469728,13.850000381469728,1156100,-2.90000057220459,-0.16959067295385277
35,2021-02-25,2,0.016151515151515153,0.8833922261484097,ONVO,15.5,15.5,12.699999809265137,12.779999732971191,12.779999732971191,909800,1.3000001907348633,0.09154931043637382
36,2021-04-05,2,0.016151515151515153,0.0,ONVO,9.859999656677246,9.9399995803833,9.5,9.529999732971191,9.529999732971191,66400,-5.560000419616699,-0.35870970449139994
37,2021-05-28,2,0.016151515151515153,0.0,ONVO,7.900000095367432,11.25,7.900000095367432,9.399999618530272,9.399999618530272,7575500,1.3100004196166992,0.13179079224530343
38,2021-06-07,1,0.008575757575757577,-0.46904315196998125,ONVO,8.550000190734863,8.890000343322754,8.350000381469727,8.5,8.5,172600,-2.359999656677246,-0.2097777472601996
39,2021-06-25,1,0.008575757575757577,0.0,ONVO,8.779999732971191,9.210000038146973,8.619999885559082,9.210000038146973,9.210000038146973,159300,0.31999969482421875,0.03599546484433702
