,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-06-13,1,0.2232222222222222,,OGIG,25.65999984741211,25.770000457763672,25.559999465942383,25.559999465942383,25.559999465942383,198000,,
1,2018-06-14,1,0.2232222222222222,0.0,OGIG,25.700000762939453,26.0,25.700000762939453,25.96999931335449,25.96999931335449,313000,0.22999954223632812,0.008925088791259084
2,2018-06-15,-1,0.001,-0.9955201592832255,OGIG,25.82999992370605,25.856000900268555,25.56999969482422,25.799999237060547,25.799999237060547,170100,-0.1439990997314453,-0.0055384269127478625
3,2018-06-18,8,1.001,999.9999999999999,OGIG,25.649999618530277,25.899999618530277,25.520000457763672,25.850000381469727,25.850000381469727,150000,0.0439987182617223,0.0017016830418374873
4,2018-09-07,1,0.2232222222222222,-0.3323363243602526,OGIG,23.059999465942383,23.46999931335449,23.024999618530277,23.280000686645508,23.280000686645508,69700,-2.4300003051757884,-0.09382240698711186
5,2020-04-13,1,0.2232222222222222,0.0,OGIG,26.049999237060547,26.25,25.61000061035156,26.229999542236328,26.229999542236328,52900,2.7800006866455114,0.11844911665863078
6,2020-07-15,1,0.2232222222222222,0.0,OGIG,40.11000061035156,40.150001525878906,39.18999862670898,39.72999954223633,39.72999954223633,296600,13.900001525878906,0.5295238676525298
7,2020-08-17,7,0.8898888888888888,2.9865604778496766,OGIG,41.060001373291016,41.4900016784668,41.04999923706055,41.41999816894531,41.41999816894531,118500,1.3400001525878906,0.033374846865801056
8,2021-02-02,1,0.2232222222222222,0.0,OGIG,59.220001220703125,59.77899932861328,58.90399932861328,59.7400016784668,59.7400016784668,241600,18.288997650146484,0.4408049387869373
9,2021-02-12,1,0.2232222222222222,0.0,OGIG,63.2400016784668,63.720001220703125,62.89599990844727,63.68000030517578,63.68000030517578,159800,3.9410018920898438,0.06592619375285325
10,2021-03-04,2,0.3343333333333333,0.49776007964161284,OGIG,54.970001220703125,55.525001525878906,52.43000030517578,53.43000030517578,53.43000030517578,576600,-8.194999694824219,-0.12860953449199874
11,2021-03-26,0,0.1121111111111111,-0.6646726487205051,OGIG,50.7400016784668,51.64799880981445,50.06999969482422,51.52999877929688,51.52999877929688,175000,-3.877002716064453,-0.0698244504191049
12,2021-04-13,1,0.2232222222222222,0.0,OGIG,55.060001373291016,55.94900131225586,55.060001373291016,55.84000015258789,55.84000015258789,110100,4.301002502441406,0.08327529820234014
